iteration,log_likelihood,al,alpha,c1,f,g,j,k,K,l,m,mp,Q,r
50000,-171.064923880816,0.01,0.0467201263219319,1.51043651630833,0.5,0.01919382397874,16.884710602707,0.02,1.94119986219282,0.297439804192402,0,0,0.667051062504735,0.0272108450320567
50100,-172.427615465725,0.01,0.0415409905604265,1.71468037086991,0.5,0.0186750840203648,18.0076760551176,0.02,2.55350654432181,0.28666774367532,0,0,1.05756389288267,0.0224346243473321
50200,-169.34406937375,0.01,0.0346524576182894,1.78530067313992,0.5,0.018075920288622,18.2303922818694,0.02,2.60465876966453,0.279421529404447,0,0,0.583743948825495,0.0219789401839066
50300,-167.528033637917,0.01,0.0306062671781145,1.9631912163467,0.5,0.0175806193908971,13.6989946092739,0.02,3.04974837572131,0.29715516187207,0,0,0.81396275831429,0.0211431241424109
50400,-166.345702544467,0.01,0.0252498603695365,1.84795134613195,0.5,0.0176066941606426,12.063884827784,0.02,2.79242049988231,0.299688833568511,0,0,0.649785218192657,0.0179891875631783
50500,-171.561038636289,0.01,0.0260581949592731,2.17263170767079,0.5,0.0177932119700918,16.9104489211281,0.02,2.99382084575646,0.297350764019368,0,0,1.10200276085641,0.0211022516475322
50600,-169.969082153625,0.01,0.0367698095809517,2.1553893504261,0.5,0.0190099662081878,17.6913084394523,0.02,3.18916946031648,0.297965403561534,0,0,0.877159365839867,0.019939875859225
50700,-169.432576292247,0.01,0.0426082014697719,1.91624987720709,0.5,0.017965756443438,25.8125865849347,0.02,2.57059497669563,0.278467726285385,0,0,0.766347070504139,0.0201457285288341
50800,-170.654334441462,0.01,0.0394643020065506,1.61741412518279,0.5,0.0182494306575217,17.9365525486531,0.02,2.02741312672925,0.290006331987606,0,0,0.720086143125153,0.0221003220562211
50900,-170.530662819539,0.01,0.0432222096236017,1.10568638098639,0.5,0.0177182231340262,26.4295675988908,0.02,1.66862094176815,0.290913383340617,0,0,1.15374710356865,0.0236423666049786
51000,-171.630479151822,0.01,0.0417048078381218,1.21823589731661,0.5,0.018638745434084,26.6792740200976,0.02,1.76298950364492,0.27188510583858,0,0,0.845854941506921,0.0189698598600935
51100,-175.388478553246,0.01,0.062752543741215,1.55444059173749,0.5,0.0179648397368886,19.0803269372297,0.02,2.1856346073283,0.293768056440557,0,0,1.08766188571993,0.0265989971570043
51200,-173.261354187043,0.01,0.0573087823147586,1.33075652854166,0.5,0.0183129063634087,28.6416182273226,0.02,2.12536723982659,0.279143878149252,0,0,0.872046577884897,0.0214288296259067
51300,-171.894767473316,0.01,0.0414051325253182,1.48604426911429,0.5,0.017706960913019,21.8049048889645,0.02,2.32229711803696,0.276309474847185,0,0,1.48108649682703,0.0248359332037519
51400,-168.63601206194,0.01,0.0470872342462074,1.69516187351226,0.5,0.0180912782735481,32.4073885922459,0.02,2.47209129288715,0.280876639633649,0,0,0.779026387432793,0.0187607149995653
51500,-168.572755923643,0.01,0.0463220374762911,1.34983404031843,0.5,0.0181153359640072,32.7439836994594,0.02,1.99212476538663,0.286510848320191,0,0,0.687043717610628,0.0176865038434974
51600,-171.180591672451,0.01,0.0441866573072127,1.53710204446813,0.5,0.018318891673558,24.0431241064507,0.02,2.06214986011943,0.28104247864681,0,0,1.15065103013132,0.0242741106871887
51700,-172.133593690556,0.01,0.0310767578521816,1.68498746695345,0.5,0.0185285609659225,18.6763597668166,0.02,2.37532623349306,0.281073310990516,0,0,1.50507943328511,0.0215791027973525
51800,-169.419290386972,0.01,0.0349099207309282,1.95836939670556,0.5,0.0187291815384353,13.3032216609766,0.02,2.64217020419669,0.291235312915627,0,0,0.501913336562355,0.0239713833040597
51900,-169.249288970682,0.01,0.0263751252821095,2.55215578823307,0.5,0.0184293846934691,11.3846979582386,0.02,3.65245421495422,0.287305278051892,0,0,0.645969050117953,0.0235093366000305
52000,-169.716755087992,0.01,0.0391200587142393,2.77290642843166,0.5,0.0179454111394304,24.3302960080384,0.02,3.58457139198597,0.28400733362613,0,0,0.974098122806878,0.0201230623337732
52100,-170.932288503258,0.01,0.0421364243098269,2.52711692991328,0.5,0.0179399849243326,20.2977393606304,0.02,3.18405085010239,0.280793826744664,0,0,0.538140307570013,0.0197224016626031
52200,-173.775967705774,0.01,0.035447923645653,1.80443561250753,0.5,0.0189786597463508,20.3059990650602,0.02,2.73408663079967,0.283828153694975,0,0,1.07485752157228,0.0268516486481143
52300,-166.26682939689,0.01,0.024455479856452,2.23854197549585,0.5,0.0175532849514716,11.2675740652772,0.02,3.33258179814408,0.297053006741477,0,0,0.649308463910495,0.018615851631854
