iteration,log_likelihood,al,alpha,c1,f,g,j,k,K,l,m,mp,Q,r
50000,-142.99419609945,0.01,0.02,1.79783847014265,0.5,0.0194733198599313,0.767550901765519,0.02,1,0.276133392874638,0.00448732930733263,0.0692604581744067,6.78461245755561,0.0254925453247492
50100,-144.041527977171,0.01,0.02,1.4038430953111,0.5,0.0180148206512318,0.180349723634623,0.02,1,0.227193271446896,0.000608650511018901,0.0563405449167405,6.81132417430439,0.0230030456236055
50200,-144.071070860295,0.01,0.02,1.43146948473361,0.5,0.0186649494993418,0.359798214302525,0.02,1,0.290264990349884,0.275448128189877,3.82059162052091E-06,3.40278455401712,0.0366053033535615
50300,-141.841971236873,0.01,0.02,1.61624152324081,0.5,0.0180138357849528,0.564977592030815,0.02,1,0.268508180874242,0.361989050732278,0.0690230715822287,3.4595940914852,0.0175616902107095
50400,-144.441825724191,0.01,0.02,1.40431837681945,0.5,0.0186098809463624,0.903882514145892,0.02,1,0.291803411207717,1.03343311673668E-06,9.55953685728767E-05,1.45041864684397,0.025876839446208
50500,-144.645277403888,0.01,0.02,1.86475711783395,0.5,0.0212477308736133,0.210889142547007,0.02,1,0.283719332486459,8.92363572979818,0.000622518932645931,2.482141024168,0.0406940429648867
50600,-143.349275369702,0.01,0.02,1.74172911440114,0.5,0.0190748770073123,1.20000271504042,0.02,1,0.25690742962281,0.0154551928829636,7.12736007815394E-06,7.07464380791941,0.0275047125421097
50700,-145.455490345355,0.01,0.02,1.6598876656921,0.5,0.0190501608221917,4.10894879543302,0.02,1,0.215296778712846,0.541259931538548,0.00211177742422752,2.42989249405773,0.0253515254849212
50800,-144.736191887506,0.01,0.02,1.40972059085662,0.5,0.0178582768472702,2.29185438188122,0.02,1,0.239844895212127,1.75404987148682E-06,0.0535314562875333,6.07936341397486,0.0350957714644822
50900,-142.989963069157,0.01,0.02,1.49252217235346,0.5,0.0190325212699888,0.898744440944155,0.02,1,0.299876734347305,0.0447033187042492,0.00205991782578949,4.23685783406416,0.0242863650286721
51000,-143.083973901547,0.01,0.02,1.76145804863164,0.5,0.0191975857421203,0.306222142188763,0.02,1,0.279656958056166,0.000283750171325431,0.000124520782542324,1.63171415678315,0.0262663777057798
51100,-143.153507307144,0.01,0.02,1.66596951791704,0.5,0.0181721365322176,0.315552735454102,0.02,1,0.244481499832176,0.00013212109512768,2.65969393400379E-05,5.02832696621702,0.0351325265568137
51200,-142.896130117391,0.01,0.02,1.57391363571646,0.5,0.0190559284290464,0.724157482947347,0.02,1,0.273961853707506,0.00176828829734162,9.33721080514316E-06,2.37158607443113,0.0229982780932355
51300,-143.863028682576,0.01,0.02,1.42413791654564,0.5,0.0178886684038042,0.540897926426965,0.02,1,0.229670337939332,0.00485522041597488,0.0136333089042516,3.37074048638119,0.0328455645800684
51400,-142.24959225884,0.01,0.02,1.51454784854932,0.5,0.0177172152869418,0.999401878788898,0.02,1,0.287884888086348,1.54612399548104E-06,9.3705089774289E-05,0.858918933861846,0.0339145543749638
51500,-147.877903646724,0.01,0.02,1.44839868072034,0.5,0.0177888607299194,0.680927154312855,0.02,1,0.277551685842432,1.09393463050963E-05,0.024406537011685,0.643749486101254,0.0548156398882451
51600,-142.201878891908,0.01,0.02,1.64114884581926,0.5,0.0182214541536698,2.10917127152785,0.02,1,0.273536923807183,0.000465460584434032,0.0394946926279922,6.60946084988811,0.0235162732749173
51700,-142.390075871338,0.01,0.02,1.62424090383359,0.5,0.0175193607023372,0.360574614995404,0.02,1,0.276505710693912,0.859825122418087,2.46632567459899E-05,3.91656532290464,0.0389808406241624
51800,-144.079559114529,0.01,0.02,1.88987536109739,0.5,0.0187408781081683,1.49286896993857,0.02,1,0.288612777751847,5.37039259723166E-06,0.000135610157364947,5.67479992278065,0.0201033468058428
51900,-146.339382048624,0.01,0.02,1.94626184343558,0.5,0.0203794355264815,0.668898644092551,0.02,1,0.222863422770646,0.00224865262904279,0.00651957267804016,7.43930599727127,0.0268221699758513
52000,-143.587955390404,0.01,0.02,1.53599738889023,0.5,0.0181457324413232,0.383234588021377,0.02,1,0.235674088287441,1.34095401314398E-05,0.0246384079586978,1.82094204349804,0.0260926860820624
52100,-143.107006952258,0.01,0.02,1.43204969602292,0.5,0.017840313504862,1.16765523349264,0.02,1,0.237471071644617,9.33159626854533,5.25536100341276E-05,5.07476194741961,0.0204619233752898
52200,-142.621227244884,0.01,0.02,1.4315729733536,0.5,0.0179418128415504,0.272823606892011,0.02,1,0.288605233380537,6.36292473125637E-06,0.00601389088686924,2.48490601448903,0.0360069111502996
52300,-143.704129669525,0.01,0.02,1.48626460717494,0.5,0.0183702438182214,0.148224307945868,0.02,1,0.243772133179775,0.020999723190197,0.000349887956887934,1.86299822723511,0.0334725300544498
52400,-141.155812653167,0.01,0.02,1.63277258125682,0.5,0.0176870992928337,0.571041803385395,0.02,1,0.282870869968279,0.0491288564373921,0.00062349015204505,6.03599491347204,0.025445961381204
52500,-147.346650778889,0.01,0.02,1.65815006760564,0.5,0.0185720217730944,0.356825223514964,0.02,1,0.203335162210995,0.00243627705718881,0.00811058735983909,1.1323702809684,0.0404424106109896
52600,-142.881805266412,0.01,0.02,1.63906459442133,0.5,0.0185720217730944,0.518071160978676,0.02,1,0.238154047720472,1.15017466626554,0.000161552620066027,6.44693946624293,0.0270702014393698
52700,-140.957270467566,0.01,0.02,1.5927705315298,0.5,0.0183863513734729,0.166327792900199,0.02,1,0.298656748332272,0.00318918336029718,1.52301517842366E-05,4.54443370741491,0.0250092096828141
52800,-143.154183642513,0.01,0.02,1.72598534983055,0.5,0.0196812552260635,1.06703995359047,0.02,1,0.271871099591418,0.000192595852470136,5.14108481707889E-05,5.05846699167683,0.0296703712645301
52900,-147.011312724747,0.01,0.02,2.10984666561053,0.5,0.0260701846945906,0.285323429187716,0.02,1,0.280537118580743,7.35137561727022E-05,4.63083679377521E-05,6.37235216477182,0.0238542046485411
53000,-145.499133167886,0.01,0.02,1.55269299772552,0.5,0.0176894253976356,0.294924961493561,0.02,1,0.170777299226206,0.0003581663812483,0.00341835432525816,6.3871803052614,0.0278953865400317
53100,-142.652030531099,0.01,0.02,1.3948846764341,0.5,0.0175280895391323,1.65805703722845,0.02,1,0.270025003123963,0.129627092269804,1.80307911992447E-06,2.64146895279056,0.0191715947430075
53200,-144.100372312811,0.01,0.02,1.79376484388436,0.5,0.0215521094775781,0.620139267543721,0.02,1,0.28014801367617,0.0616089650183039,0.00325898645846617,4.42252867261157,0.0247445985810431
53300,-143.72480206916,0.01,0.02,1.80951122752282,0.5,0.0196723963833661,0.415533529968809,0.02,1,0.268593881206422,6.39651600081383E-06,0.000324546173876354,2.08372175186206,0.0257513089786633
53400,-141.698966297419,0.01,0.02,1.68546260811683,0.5,0.0187430028492396,0.497067810920695,0.02,1,0.280851485066447,0.499889693292032,0.00387621345746569,7.7122924098509,0.0237265137140556
53500,-142.10532470122,0.01,0.02,1.57271948444419,0.5,0.0183355259463487,0.527517782882465,0.02,1,0.286726814066673,7.1074963608079,0.00288330031771439,4.3437991811082,0.0362238365555837
53600,-145.990969659804,0.01,0.02,1.92994930794177,0.5,0.0226458716756756,0.416053105405001,0.02,1,0.279520356899488,0.00214332453455253,0.000302041617988402,1.19991644357412,0.0339547196483623
53700,-147.803887163079,0.01,0.02,2.17412075077615,0.5,0.0215174928252581,0.181365731540206,0.02,1,0.260476202586385,0.835352678753548,2.92473270740839E-05,5.13290248581883,0.0379990345429087
53800,-142.441995725409,0.01,0.02,1.62700015746788,0.5,0.0189049230576746,0.477599815053022,0.02,1,0.293784896562875,1.63337316122945E-06,0.0012638028069811,1.40694556318936,0.0354569909817262
53900,-146.469742493806,0.01,0.02,1.50286280296145,0.5,0.0190321372497051,0.82040441009449,0.02,1,0.231723565433581,1.50320744305808,2.41236312503666E-05,1.27966715876524,0.0195781880031452
54000,-144.270883955677,0.01,0.02,1.64993957673284,0.5,0.0186725940702763,1.46844904649233,0.02,1,0.24760944105576,0.0317825240787371,0.00260739975099267,1.43655745358656,0.02367310544212
54100,-145.006272157575,0.01,0.02,1.56682957612169,0.5,0.0181928852234997,1.72303116462731,0.02,1,0.216967254349631,0.00368380104436393,0.000566168390325951,1.8902914151984,0.0205740522832444
54200,-144.064062429507,0.01,0.02,1.93777538479439,0.5,0.0197436167414455,0.600846626093592,0.02,1,0.280045846989291,0.353559615307196,0.00270423342744391,5.84749805664131,0.0201613841846422
54300,-142.220059644577,0.01,0.02,1.7064793907494,0.5,0.0175118943552712,0.440204287297214,0.02,1,0.28363096686944,0.00115005966600253,0.0019494471988045,2.20193114429475,0.0200463593723711
54400,-141.567606830127,0.01,0.02,1.63789865087078,0.5,0.018068943952485,0.187881859741236,0.02,1,0.274444469169762,0.0243039656528025,0.00797442588666384,4.49206208088238,0.029147557907532
54500,-142.322009543392,0.01,0.02,1.65583172708117,0.5,0.0178032485311057,1.80594401076532,0.02,1,0.297723452377196,0.000324260492762738,0.0491693596815148,1.0518344783431,0.0234556979205374
54600,-144.715962989553,0.01,0.02,1.4212347812604,0.5,0.0179297904302785,0.806470458027657,0.02,1,0.256173359132538,1.23976787763302,0.264512620429475,0.801124991175149,0.0341478386235134
54700,-143.97234784276,0.01,0.02,1.41529798019855,0.5,0.0187887743314368,0.141672230732439,0.02,1,0.295464226882689,3.65978127027969E-05,0.0205847086593554,6.60009693579607,0.0184452402936583
54800,-141.455119977386,0.01,0.02,1.64721339518068,0.5,0.0182894376119998,0.608019200722584,0.02,1,0.295526614319932,0.0307488166301681,0.423362184025618,3.92521362392683,0.0198152526924095
54900,-144.092822696542,0.01,0.02,1.6700520950702,0.5,0.0191709585912702,2.04515853979554,0.02,1,0.236795473502215,0.00113053296135091,0.000229672239099328,4.58844885379107,0.0216482569872271
55000,-142.174742641073,0.01,0.02,1.69611310100133,0.5,0.0179995430831787,2.48239817160113,0.02,1,0.2918276698186,0.00153283533491398,5.44683576385949E-06,6.47457576461884,0.0245920272436725
55100,-145.134735725073,0.01,0.02,1.49840080494108,0.5,0.0194103226583513,0.153190375189443,0.02,1,0.252791614501452,3.97225536736347,0.0173908376534565,2.25650319750408,0.0196768868633452
