tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P12_Nullcline,P13_ConstHighN,P14_MLDOnlyNUnlim
1,2.99356714945195,3.0518420394332,3.0518420394332,5.86411682292785,2.90699033160526,2.90699033160526,5.56631696166186,5.56631696166186,5.25383864292908,5.25383864292908,2.86997659634419,2.86997659634419,3.03842049022835,6.05725858495421
2,2.93431742128226,3.01283402264217,3.01283402264217,5.81731233808133,2.86545292950383,2.86545292950383,5.50876110819667,5.50876110819667,5.23776792570073,5.23776792570073,2.86997659634419,2.86997659634419,2.97879414179619,5.9925764279038
3,2.9019549705737,2.96787835346003,2.96787835346003,5.8652916072951,2.84641265847509,2.84641265847509,5.55505132699642,5.55505132699642,5.21919531738696,5.21919531738696,2.86997659634419,2.86997659634419,2.94559174553407,6.00369946293112
4,2.85097322401758,2.92491156741041,2.92491156741041,5.92753916696925,2.81247086915282,2.81247086915282,5.71596375292842,5.71596375292842,5.19550244779396,5.19550244779396,2.86997659634419,2.86997659634419,2.88802429039373,6.28601704211343
5,2.84563696358266,2.89650682293051,2.89650682293051,6.08287420191868,2.82670313091637,2.82670313091637,5.9505839163426,5.9505839163426,5.18188823182121,5.18188823182121,2.86997659634419,2.86997659634419,2.87852707596267,6.75388605880435
6,2.80836081714133,2.87812003043111,2.87812003043111,6.00966170014348,2.80306028043933,2.80306028043933,5.92572379345536,5.92572379345536,5.16370385283686,5.16370385283686,2.86997659634419,2.86997659634419,2.83230166358595,7.12380991103398
7,2.75033800650218,2.84952645133359,2.84952645133359,5.90642137148875,2.72757517248349,2.72757517248349,5.82490294508028,5.82490294508028,5.11930964388658,5.11930964388658,2.86997659634419,2.86997659634419,2.76310428531387,7.2611542536311
8,2.72407607071753,2.81482256452661,2.81482256452661,5.79909924340659,2.69421945973,2.69421945973,5.71882743524568,5.71882743524568,5.07175692403903,5.07175692403903,2.86997659634419,2.86997659634419,2.7305468292738,7.28367406381374
9,2.68272824163905,2.78563496885535,2.78563496885535,5.67557012182355,2.67171820719358,2.67171820719358,5.59807751661016,5.59807751661016,5.02586795073434,5.02586795073434,2.86997659634419,2.86997659634419,2.6784047139782,7.2232481810435
10,2.66215816233691,2.76236320839479,2.76236320839479,5.53375805617931,2.66337737456932,2.66337737456932,5.4691671827253,5.4691671827253,4.98258057411172,4.98258057411172,2.86997659634419,2.86997659634419,2.65179448105616,7.1163539283299
11,2.59055932369526,2.70821257155501,2.70821257155501,5.41285802208619,2.64502677545864,2.64502677545864,5.36613628691101,5.36613628691101,4.93658269202272,4.93658269202272,2.86997659634419,2.86997659634419,2.56793452139571,6.92389452593407
12,2.47419189192526,2.64573563055417,2.64573563055417,5.30482085034013,2.5901955003647,2.5901955003647,5.28189374800325,5.28189374800325,4.87273244524424,4.87273244524424,2.86997659634419,2.93833020677829,2.44325752566938,6.74555345677635
13,2.36822157566396,2.61373150026082,2.61373150026082,5.19185932871042,2.51026049170004,2.51026049170004,5.20155113102096,5.20155113102096,4.78689728281952,4.78689728281952,2.86997659634419,2.93451093469737,2.33056175853981,6.5819819922599
14,2.32663287957771,2.59628160245064,2.59628160245064,5.10183285863256,2.4736347795923,2.4736347795923,5.13512071390823,5.13512071390823,4.70618007786997,4.70618007786997,2.86997659634419,2.98736406597335,2.29585440815904,6.45002872008926
15,2.23245288578732,2.55899416384969,2.55899416384969,5.00352453999181,2.4247989859283,2.4247989859283,5.06825207669404,5.06825207669404,4.61708845616085,4.61708845616085,2.86997659634419,3.06863703068549,2.1864269380281,6.28570095873816
16,2.12099286536484,2.56697994814155,2.56697994814155,4.89909269098864,2.34743936382403,2.34743936382403,5.0015042561661,5.0015042561661,4.50770998248085,4.50770998248085,2.86997659634419,3.13409630330412,2.07711820571153,6.14210685667581
17,2.05059859557352,2.60508579335066,2.60508579335066,4.79243866756304,2.25961609556729,2.25961609556729,4.93295029744962,4.93295029744962,4.38424351981412,4.38424351981412,2.86997659634419,3.11814953574585,2.01035347235965,6.01545467142136
18,2.01804076710246,2.63550797704951,2.63550797704951,4.68292368363261,2.205850428918,2.205850428918,4.85916188547504,4.85916188547504,4.27036544560448,4.27036544560448,2.86997659634419,3.10236994361493,1.99275182557295,5.89851428815072
19,1.96565430757272,2.66584009834386,2.66584009834386,4.57659667406846,2.14400023362732,2.14400023362732,4.78150543088108,4.78150543088108,4.15026239470676,4.15026239470676,2.86997659634419,3.11974045278192,1.95191231026182,5.79124673232073
20,1.9028678536991,2.68678356966319,2.68678356966319,4.4750590729108,2.07365969601559,2.07365969601559,4.70617956135207,4.70617956135207,4.02273688750835,4.02273688750835,2.86997659634419,3.12426458131334,1.90203154977716,5.68970913116308
21,1.84702556417385,2.70696104665718,2.70696104665718,4.36411869213278,2.01896442502026,2.01896442502026,4.63558175970481,4.63558175970481,3.90233751587027,3.90233751587027,2.86997659634419,3.14680993453465,1.86849207135012,5.58365609026894
22,1.74640436462047,2.70959015716725,2.70959015716725,4.21504911347957,1.94820646110672,1.94820646110672,4.55176930631866,4.55176930631866,3.77155834702439,3.77155834702439,2.86997659634419,3.21066007902649,1.79298707355081,5.45763315390551
23,1.6477013584481,2.71682092721826,2.71682092721826,4.06795988438926,1.90456545996249,1.90456545996249,4.48117198919562,4.48117198919562,3.65850661573265,3.65850661573265,2.86997659634419,3.11811629555015,1.72657024010775,5.32464941994887
24,1.57898074086896,2.70634941921208,2.70634941921208,3.99527792534371,1.86854663721175,1.86854663721175,4.44602147024478,4.44602147024478,3.58061362572827,3.58061362572827,2.86997659634419,3.07337208777318,1.67417844056499,5.25196746090332
25,1.55215301940486,2.72928102224146,2.72928102224146,3.93713649868594,1.88146753426634,1.88146753426634,4.41809398288462,4.41809398288462,3.51971906689358,3.51971906689358,2.86997659634419,2.97897771965461,1.67792435453667,5.19382603424555
26,1.55484834701829,2.73367078023975,2.73367078023975,3.85780716224161,1.98329041835713,1.98329041835713,4.36810561924815,4.36810561924815,3.51580234738619,3.51580234738619,2.86997659634419,2.99500249208135,1.72514606434636,5.11238147970593
27,1.57400068765293,2.72733069051079,2.72733069051079,3.78402058179565,2.13104648614794,2.13104648614794,4.31398726588706,4.31398726588706,3.54966322625309,3.54966322625309,2.86997659634419,2.94914082357896,1.79150532925776,5.03416171987271
28,1.61442940595111,2.71695318214335,2.71695318214335,3.70637142272398,2.33219698127312,2.33219698127312,4.25537732809803,4.25537732809803,3.62723332164796,3.62723332164796,2.86997659634419,2.91805282720538,1.88316947046758,4.97256497213606
29,1.69683890108779,2.70902527725366,2.70902527725366,3.65204305305379,2.58217324557552,2.58217324557552,4.20884185757883,4.20884185757883,3.74711002363203,3.74711002363203,2.86997659634419,2.80554316541694,2.01898728540586,4.9100876513419
30,1.784651853642,2.68799060140637,2.68799060140637,3.59953527249687,2.82478701641447,2.82478701641447,4.15740719995759,4.15740719995759,3.87302385782471,3.87302385782471,2.86997659634419,2.49718193907261,2.15388104442698,4.85353434518587
31,1.93723678392873,2.69096443448857,2.69096443448857,3.59086901387016,3.08121599420715,3.08121599420715,4.13152027216229,4.13152027216229,4.02815830841698,4.02815830841698,2.86997659634419,NaN,2.34890123165679,4.80766453977761
32,2.17265817013088,2.72188991830639,2.72188991830639,3.64815027449026,3.30117819388559,3.30117819388559,4.13720421381344,4.13720421381344,4.19387191591241,4.19387191591241,2.86997659634419,NaN,2.60807306438064,4.82103558920554
