tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P13_ConstHighN,P14_MLDOnlyNUnlim
1,-0.00539436843950603,-0.00558498831040231,-0.00558498831040231,0.00263342848983472,1.08032654657749E-05,1.08032654657749E-05,0.00404264538806432,0.00404264538806432,-0.000492201434553594,-0.000492201434553594,1.56414831117381E-17,-0.00512685677734844,0.0163219906309581
2,-0.00774392922588502,-0.00447783431262631,-0.00447783431262631,-0.00141243965067332,-0.00776948489817134,-0.00776948489817134,9.76743635198736E-05,9.76743635198736E-05,-0.00321754062767013,-0.00321754062767013,1.56414831117381E-17,-0.00797143419242644,-0.00623634514127128
3,-0.00387754584368882,-0.00490469807245503,-0.00490469807245503,0.0421147005851831,-0.000726943742670466,-0.000726943742670466,0.0422764900774218,0.0422764900774218,-0.00189449101667332,-0.00189449101667332,1.56414831117381E-17,-0.00439842738022563,0.0397001543568967
4,-0.00604146167666704,-0.0045503611316707,-0.0045503611316707,-0.00210127540824714,-0.00575540548635891,-0.00575540548635891,0.000493368258368135,0.000493368258368135,-0.00374124232279352,-0.00374124232279352,1.56414831117381E-17,-0.00682250355742038,0.0276392867991557
5,-0.000784478707000471,-0.00288486644009266,-0.00288486644009266,0.011003295694449,0.00420552787753497,0.00420552787753497,0.0426469135827451,0.0426469135827451,-0.000537519999470266,-0.000537519999470266,1.56414831117381E-17,-0.00169615154432488,0.086083445680397
6,-0.00478170107759746,-0.00190719805270997,-0.00190719805270997,0.000848863192398464,-0.00603240179591075,-0.00603240179591075,0.0010088607265071,0.0010088607265071,-0.00347580514938355,-0.00347580514938355,1.56414831117381E-17,-0.00565822798813182,0.0432693833838088
7,-0.00813023622825662,-0.0034873820323373,-0.0034873820323373,0.00236136897193194,-0.0113372504142206,-0.0113372504142206,0.0027340886289393,0.0027340886289393,-0.00713077633155936,-0.00713077633155936,1.56414831117381E-17,-0.00960222201750528,0.0257810560944713
8,-0.0028445094048302,-0.00412917801814681,-0.00412917801814681,0.00263664919072038,-0.00109818328836954,-0.00109818328836954,0.00275590770172481,0.00275590770172481,-0.00520821090044593,-0.00520821090044593,1.56414831117381E-17,-0.00413714951199401,0.0115509215441951
9,-0.00559143113568466,-0.00328377091555566,-0.00328377091555566,0.00211811675649941,-0.00369273997260823,-0.00369273997260823,0.0025502699239904,0.0025502699239904,-0.00611996289979526,-0.00611996289979526,1.56414831117381E-17,-0.00666319062057061,0.00745547110474084
10,-0.00239505781042924,-0.00263094828097458,-0.00263094828097458,0.00707070082283963,2.05766374048442E-05,2.05766374048442E-05,0.00914534565514917,0.00914534565514917,-0.00499167339734599,-0.00499167339734599,1.56414831117381E-17,-0.00336133795458368,0.00488778537133501
11,-0.0103822338085624,-0.00716342074754785,-0.00716342074754785,0.00978505730680651,-0.00367073812063646,-0.00367073812063646,0.0120901485733836,0.0120901485733836,-0.00633901319562737,-0.00633901319562737,1.56414831117381E-17,-0.011379795838034,0
12,-0.0101746610146948,-0.00148931722201843,-0.00148931722201843,0.00719845134127806,-0.00885622094020521,-0.00885622094020521,0.0106603688685639,0.0106603688685639,-0.0092538813109138,-0.0092538813109138,1.56414831117381E-17,-0.0110418668096367,0
13,-0.0100088644261737,2.12726049965587E-05,2.12726049965587E-05,0.00702350238201558,-0.0109025739501755,-0.0109025739501755,0.0117173962744434,0.0117173962744434,-0.0118320467947146,-0.0118320467947146,1.56414831117381E-17,-0.0109693903800328,0.00485084507020564
14,0.00493014005042034,0.00620198455768151,0.00620198455768151,0.0116980433896186,-0.0014814203335175,-0.0014814203335175,0.0136833254635127,0.0136833254635127,-0.0090090116404975,-0.0090090116404975,1.56414831117381E-17,0.00528630764093154,0.00486881381437061
15,-0.00709055713264004,0.00839815711518766,0.00839815711518766,0.00596797969573567,-0.00943601411241914,-0.00943601411241914,0.0107000968514212,0.0107000968514212,-0.0128172508158734,-0.0128172508158734,1.56414831117381E-17,-0.00826388684805602,0
16,0.00512716663523574,0.0193557128843607,0.0193557128843607,0.00379776220131839,-0.00994087569613992,-0.00994087569613992,0.00840774274357039,0.00840774274357039,-0.0142211245168626,-0.0142211245168626,1.56414831117381E-17,0.00557937886516923,0
17,0.0035959659103429,0.0174843760881155,0.0174843760881155,0.00144011660389028,-0.0120115137997985,-0.0120115137997985,0.00628000310210093,0.00628000310210093,-0.0163326873014729,-0.0163326873014729,1.56414831117381E-17,0.0039175832951679,0
18,0.0110001350481253,0.0186119585187637,0.0186119585187637,0.000702017766373977,-0.00341245578275522,-0.00341245578275522,0.00462063135169444,0.00462063135169444,-0.0126032768821908,-0.0126032768821908,1.56414831117381E-17,0.013453607961256,0
19,0.00374960758788108,0.0159513162018774,0.0159513162018774,0,-0.0110383351426949,-0.0110383351426949,0.00310388474840875,0.00310388474840875,-0.0168411852296712,-0.0168411852296712,1.56414831117381E-17,0.00460820281751073,0
20,0.00534946139560266,0.0151015739899245,0.0151015739899245,0,-0.00738499051732154,-0.00738499051732154,0.00366250951914285,0.00366250951914285,-0.0151581113173563,-0.0151581113173563,1.56414831117381E-17,0.00741373690234539,0
