tc,days,years
1,1,1998
2,9,1998
3,17,1998
4,25,1998
5,33,1998
6,41,1998
7,49,1998
8,57,1998
9,65,1998
10,73,1998
11,81,1998
12,89,1998
13,97,1998
14,105,1998
15,113,1998
16,121,1998
17,129,1998
18,137,1998
19,145,1998
20,153,1998
21,161,1998
22,169,1998
23,177,1998
24,185,1998
25,193,1998
26,201,1998
27,209,1998
28,217,1998
29,225,1998
30,233,1998
31,241,1998
32,249,1998
33,257,1998
34,265,1998
35,273,1998
36,281,1998
37,289,1998
38,297,1998
39,305,1998
40,313,1998
41,321,1998
42,329,1998
43,337,1998
44,345,1998
45,353,1998
46,361,1998
47,1,1999
48,9,1999
49,17,1999
50,25,1999
51,33,1999
52,41,1999
53,49,1999
54,57,1999
55,65,1999
56,73,1999
57,81,1999
58,89,1999
59,97,1999
60,105,1999
61,113,1999
62,121,1999
63,129,1999
64,137,1999
65,145,1999
66,153,1999
67,161,1999
68,169,1999
69,177,1999
70,185,1999
71,193,1999
72,201,1999
73,209,1999
74,217,1999
75,225,1999
76,233,1999
77,241,1999
78,249,1999
79,257,1999
80,265,1999
81,273,1999
82,281,1999
83,289,1999
84,297,1999
85,305,1999
86,313,1999
87,321,1999
88,329,1999
89,337,1999
90,345,1999
91,353,1999
92,361,1999
93,1,2000
94,9,2000
95,17,2000
96,25,2000
97,33,2000
98,41,2000
99,49,2000
100,57,2000
101,65,2000
102,73,2000
103,81,2000
104,89,2000
105,97,2000
106,105,2000
107,113,2000
108,121,2000
109,129,2000
110,137,2000
111,145,2000
112,153,2000
113,161,2000
114,169,2000
115,177,2000
116,185,2000
117,193,2000
118,201,2000
119,209,2000
120,217,2000
121,225,2000
122,233,2000
123,241,2000
124,249,2000
125,257,2000
126,265,2000
127,273,2000
128,281,2000
129,289,2000
130,297,2000
131,305,2000
132,313,2000
133,321,2000
134,329,2000
135,337,2000
136,345,2000
137,353,2000
138,361,2000
139,1,2001
140,9,2001
141,17,2001
142,25,2001
143,33,2001
144,41,2001
145,49,2001
146,57,2001
147,65,2001
148,73,2001
149,81,2001
150,89,2001
151,97,2001
152,105,2001
153,113,2001
154,121,2001
155,129,2001
156,137,2001
157,145,2001
158,153,2001
159,161,2001
160,169,2001
161,177,2001
162,185,2001
163,193,2001
164,201,2001
165,209,2001
166,217,2001
167,225,2001
168,233,2001
169,241,2001
170,249,2001
171,257,2001
172,265,2001
173,273,2001
174,281,2001
175,289,2001
176,297,2001
177,305,2001
178,313,2001
179,321,2001
180,329,2001
181,337,2001
182,345,2001
183,353,2001
184,361,2001
185,1,2002
186,9,2002
187,17,2002
188,25,2002
189,33,2002
190,41,2002
191,49,2002
192,57,2002
193,65,2002
194,73,2002
195,81,2002
196,89,2002
197,97,2002
198,105,2002
199,113,2002
200,121,2002
201,129,2002
202,137,2002
203,145,2002
204,153,2002
205,161,2002
206,169,2002
207,177,2002
208,185,2002
209,193,2002
210,201,2002
211,209,2002
212,217,2002
213,225,2002
214,233,2002
215,241,2002
216,249,2002
217,257,2002
218,265,2002
219,273,2002
220,281,2002
221,289,2002
222,297,2002
223,305,2002
224,313,2002
225,321,2002
226,329,2002
227,337,2002
228,345,2002
229,353,2002
230,361,2002
