index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
1,1,1,8,2.36556379649006,0.940503131355263,165.604297664166,0.963986465936458,14.161156875,27.2505060496447,-0.0692228794805931,0.140941343947515,60.2896509152445,4.22207924865496,0,47.5,2.36556379649006,0.522177659033745,4.20894993394638,1.4250606651348,3.30606692784532
2,8,8,8,2.36556379649006,0.940503131355263,165.604297664166,1.15211923989433,14.161156875,27.2505060496447,-0.0692228794805931,0.140941343947515,60.2896509152445,4.22207924865496,-0.00836960683147624,47.5,2.36556379649006,0.522177659033745,4.20894993394638,1.4250606651348,3.30606692784532
3,16,16,8,1.68804872165674,1.28013521444707,188.739972846641,1.34025200765442,14.161156875,30.1774249317945,0.0343179893325734,0.199954819465317,62.8522501114864,5.85722375022758,-0.0415546713220932,47.5,1.68804872165674,-0.821016298659517,4.197113741973,0.40791350720967,2.96818393610381
4,24,24,8,2.01028304094476,1.06237080215012,193.25515942163,0.564398316169751,14.161156875,26.5468041233535,-0.102442081320302,0.199060749327405,64.0165644580132,5.71081569092072,0.0152715337996692,47.5,2.01028304094476,-0.071963731269475,4.092529813159,0.94791223879464,3.07265384309488
5,32,32,8,1.19074639038234,1.40888296564854,197.770345847872,0.479968071058375,14.161156875,43.716465298993,0.0993136473720168,0.210318543385481,67.0095048094134,5.80208418704812,-0.0169727912709759,47.5,1.19074639038234,-1.5706642222888,3.95215700305348,-0.2181365752662,2.59962935603088
6,40,40,8,1.98525556935848,1.14319254118622,202.285532434715,0.142247111789042,14.161156875,32.7647668731042,-0.0550271231778933,0.168634328758672,64.4485840553714,5.03607704519822,0.0450494988079169,47.5,1.98525556935848,-0.255401811366511,4.22591295008347,0.84206302817226,3.1284481105447
7,48,48,8,1.54503858393533,0.86783945699681,204.774393127031,-0.195473859514333,14.161156875,54.2875651197842,0.0865116767648276,0.136450941676383,58.8312106255365,4.2828421033468,0.00560982672365824,47.5,1.54503858393533,-0.155926751778418,3.24600391964908,0.67719912693852,2.41287804093214
8,56,56,8,2.23713199805395,0.859669479438321,201.184276530809,-0.44876456317525,14.161156875,45.6975571148611,-0.0161836516124047,0.14737369888342,58.3165650682322,4.32431999756028,0.0219397638220525,47.5,2.23713199805395,0.552179818354841,3.92208417775306,1.37746251861563,3.09680147749227
9,64,64,8,2.10766278515471,0.911922866012249,197.594159806371,-0.0253899522705,14.161156875,57.0807445147362,-0.0045087336862659,0.159028351374544,60.8131159654929,4.92549335750198,0.0188118509815327,47.5,2.10766278515471,0.320293967770702,3.89503160253872,1.19573991914246,3.01958565116696
10,72,72,8,2.07159291566459,0.997072492290953,194.004043610825,0.539109522382999,14.161156875,64.8817897511789,0.0729643346182253,0.140802163549783,56.75837372515,6.2445359531546,0.0202335587616308,47.5,2.07159291566459,0.117330830774322,4.02585500055486,1.07452042337364,3.06866540795554
11,80,80,8,2.65530759261038,0.723198152005067,200.574917676317,1.10360898229538,14.161156875,63.0045590997698,-0.017975225008821,0.098408127285321,48.6245686147946,7.03633171973214,0.0347648214595707,47.5,2.65530759261038,1.23783921468045,4.07277597054031,1.93210944060531,3.37850574461545
12,88,88,8,2.51150579253982,0.65432929541708,210.532788343563,1.24473385085108,14.161156875,91.927935123281,0.0333083135417982,0.105498669330701,52.3285656091576,5.18382325317665,0.00912158168186386,47.5,2.51150579253982,1.22902037352234,3.7939912115573,1.85717649712274,3.1658350879569
