N,t
217.061893534572,1
216.853091307183,8
216.759025359766,16
216.746008562359,24
216.759730705063,32
216.769185890573,40
216.768234312673,48
216.781840719533,56
216.810208777444,64
216.847109814272,72
216.887279327206,80
216.923205918923,88
216.954496782797,96
216.979531554131,104
217.00225627919,112
217.02527425008,120
217.048658654045,128
217.070841571389,136
217.087152143675,144
217.0955381422,152
217.099459907364,160
217.100957988681,168
217.101369730725,176
217.101458322805,184
217.101474999577,192
217.101477695537,200
217.101478069983,208
217.101478118195,216
217.101478124302,224
217.101478124966,232
217.101478125026,240
217.101478125026,248
217.101478125021,256
217.101478125016,264
217.101478125012,272
217.101478125009,280
217.101478125006,288
217.101478125004,296
217.101478125003,304
217.101478125002,312
217.101478125002,320
217.101478125001,328
217.101478125001,336
217.101478125001,344
217.101478125001,352
217.101478125,360
217.101478125,366
217.101478125,373
217.101478125,381
217.101478125,389
217.101478125,397
217.101478125,405
217.101478125,413
217.101478125,421
217.101478125,429
217.101478125,437
217.101478125,445
217.101478125,453
217.101478125,461
217.101478125,469
217.101478125,477
217.101478125,485
217.101478125,493
217.101478125,501
217.101478125,509
217.101478125,517
217.101478125,525
217.101478125,533
217.101478125,541
217.101478125,549
217.101478125,557
217.101478125,565
217.101478125,573
217.101478125,581
217.101478125,589
217.101478125,597
217.101478125,605
217.101478125,613
217.101478125,621
217.101478125,629
217.101478125,637
217.101478125,645
217.101478125,653
217.101478125,661
217.101478125,669
217.101478125,677
217.101478125,685
217.101478125,693
217.101478125,701
217.101478125,709
217.101478125,717
217.101478125,725
217.101478125,732
217.101478125,739
217.101478125,747
217.101478125,755
217.101478125,763
217.101478125,771
217.101478125,779
217.101478125,787
217.101478125,795
217.101478125,803
217.101478125,811
217.101478125,819
217.101478125,827
217.101478125,835
217.101478125,843
217.101478125,851
217.101478125,859
217.101478125,867
217.101478125,875
217.101478125,883
217.101478125,891
217.101478125,899
217.101478125,907
217.101478125,915
217.101478125,923
217.101478125,931
217.101478125,939
217.101478125,947
217.101478125,955
217.101478125,963
217.101478125,971
217.101478125,979
217.101478125,987
217.101478125,995
217.101478125,1003
217.101478125,1011
217.101478125,1019
217.101478125,1027
217.101478125,1035
217.101478125,1043
217.101478125,1051
217.101478125,1059
217.101478125,1067
217.101478125,1075
217.101478125,1083
217.101478125,1091
217.101478125,1097
217.101478125,1104
217.101478125,1112
217.101478125,1120
217.101478125,1128
217.101478125,1136
217.101478125,1144
217.101478125,1152
217.101478125,1160
217.101478125,1168
217.101478125,1176
217.101478125,1184
217.101478125,1192
217.101478125,1200
217.101478125,1208
217.101478125,1216
217.101478125,1224
217.101478125,1232
217.101478125,1240
217.101478125,1248
217.101478125,1256
217.101478125,1264
217.101478125,1272
217.101478125,1280
217.101478125,1288
217.101478125,1296
217.101478125,1304
217.101478125,1312
217.101478125,1320
217.101478125,1328
217.101478125,1336
217.101478125,1344
217.101478125,1352
217.101478125,1360
217.101478125,1368
217.101478125,1376
217.101478125,1384
217.101478125,1392
217.101478125,1400
217.101478125,1408
217.101478125,1416
217.101478125,1424
217.101478125,1432
217.101478125,1440
217.101478125,1448
217.101478125,1456
217.101478125,1462
217.101478125,1469
217.101478125,1477
217.101478125,1485
217.101478125,1493
217.101478125,1501
217.101478125,1509
217.101478125,1517
217.101478125,1525
217.101478125,1533
217.101478125,1541
217.101478125,1549
217.101478125,1557
217.101478125,1565
217.101478125,1573
217.101478125,1581
217.101478125,1589
217.101478125,1597
217.101478125,1605
217.101478125,1613
217.101478125,1621
217.101478125,1629
217.101478125,1637
217.101478125,1645
217.101478125,1653
217.101478125,1661
217.101478125,1669
217.101478125,1677
217.101478125,1685
217.101478125,1693
217.101478125,1701
217.101478125,1709
217.101478125,1717
217.101478125,1725
217.101478125,1733
217.101478125,1741
217.101478125,1749
217.101478125,1757
217.101478125,1765
217.101478125,1773
217.101478125,1781
217.101478125,1789
217.101478125,1797
217.101478125,1805
217.101478125,1813
217.101478125,1821
217.058641025583,1
216.824961088654,8
216.709559276981,16
216.708767961737,24
216.738689693039,32
216.762391657486,40
216.769937118595,48
216.791010603396,56
216.824773102185,64
216.864107640905,72
216.903569046439,80
216.936884386194,88
216.966352858576,96
216.992076842116,104
217.014132333209,112
217.033967134193,120
217.051483299904,128
217.065843857117,136
217.077975281006,144
217.08776918585,152
217.094485251153,160
217.098705068785,168
217.100606858786,176
217.101243121214,184
217.101425566653,192
217.101468474595,200
217.101476555888,208
217.101477886894,216
217.101478094774,224
217.10147812128,232
217.101478124381,240
217.101478124866,248
217.10147812497,256
217.101478124996,264
217.101478125003,272
217.101478125004,280
217.101478125004,288
217.101478125003,296
217.101478125003,304
217.101478125002,312
217.101478125002,320
217.101478125001,328
217.101478125001,336
217.101478125001,344
217.101478125001,352
217.101478125,360
217.101478125,366
217.101478125,373
217.101478125,381
217.101478125,389
217.101478125,397
217.101478125,405
217.101478125,413
217.101478125,421
217.101478125,429
217.101478125,437
217.101478125,445
217.101478125,453
217.101478125,461
217.101478125,469
217.101478125,477
217.101478125,485
217.101478125,493
217.101478125,501
217.101478125,509
217.101478125,517
217.101478125,525
217.101478125,533
217.101478125,541
217.101478125,549
217.101478125,557
217.101478125,565
217.101478125,573
217.101478125,581
217.101478125,589
217.101478125,597
217.101478125,605
217.101478125,613
217.101478125,621
217.101478125,629
217.101478125,637
217.101478125,645
217.101478125,653
217.101478125,661
217.101478125,669
217.101478125,677
217.101478125,685
217.101478125,693
217.101478125,701
217.101478125,709
217.101478125,717
217.101478125,725
217.101478125,732
217.101478125,739
217.101478125,747
217.101478125,755
217.101478125,763
217.101478125,771
217.101478125,779
217.101478125,787
217.101478125,795
217.101478125,803
217.101478125,811
217.101478125,819
217.101478125,827
217.101478125,835
217.101478125,843
217.101478125,851
217.101478125,859
217.101478125,867
217.101478125,875
217.101478125,883
217.101478125,891
217.101478125,899
217.101478125,907
217.101478125,915
217.101478125,923
217.101478125,931
217.101478125,939
217.101478125,947
217.101478125,955
217.101478125,963
217.101478125,971
217.101478125,979
217.101478125,987
217.101478125,995
217.101478125,1003
217.101478125,1011
217.101478125,1019
217.101478125,1027
217.101478125,1035
217.101478125,1043
217.101478125,1051
217.101478125,1059
217.101478125,1067
217.101478125,1075
217.101478125,1083
217.101478125,1091
217.101478125,1097
217.101478125,1104
217.101478125,1112
217.101478125,1120
217.101478125,1128
217.101478125,1136
217.101478125,1144
217.101478125,1152
217.101478125,1160
217.101478125,1168
217.101478125,1176
217.101478125,1184
217.101478125,1192
217.101478125,1200
217.101478125,1208
217.101478125,1216
217.101478125,1224
217.101478125,1232
217.101478125,1240
217.101478125,1248
217.101478125,1256
217.101478125,1264
217.101478125,1272
217.101478125,1280
217.101478125,1288
217.101478125,1296
217.101478125,1304
217.101478125,1312
217.101478125,1320
217.101478125,1328
217.101478125,1336
217.101478125,1344
217.101478125,1352
217.101478125,1360
217.101478125,1368
217.101478125,1376
217.101478125,1384
217.101478125,1392
217.101478125,1400
217.101478125,1408
217.101478125,1416
217.101478125,1424
217.101478125,1432
217.101478125,1440
217.101478125,1448
217.101478125,1456
217.101478125,1462
217.101478125,1469
217.101478125,1477
217.101478125,1485
217.101478125,1493
217.101478125,1501
217.101478125,1509
217.101478125,1517
217.101478125,1525
217.101478125,1533
217.101478125,1541
217.101478125,1549
217.101478125,1557
217.101478125,1565
217.101478125,1573
217.101478125,1581
217.101478125,1589
217.101478125,1597
217.101478125,1605
217.101478125,1613
217.101478125,1621
217.101478125,1629
217.101478125,1637
217.101478125,1645
217.101478125,1653
217.101478125,1661
217.101478125,1669
217.101478125,1677
217.101478125,1685
217.101478125,1693
217.101478125,1701
217.101478125,1709
217.101478125,1717
217.101478125,1725
217.101478125,1733
217.101478125,1741
217.101478125,1749
217.101478125,1757
217.101478125,1765
217.101478125,1773
217.101478125,1781
217.101478125,1789
217.101478125,1797
217.101478125,1805
217.101478125,1813
217.101478125,1821
217.052411567772,1
216.797783416813,8
216.705996125728,16
216.739905566839,24
216.791044229025,32
216.829867187627,40
216.849332811738,48
216.869181053116,56
216.893828309134,64
216.919644855154,72
216.944495812175,80
216.965375648752,88
216.983799743422,96
216.99749360321,104
217.010790069344,112
217.025726987083,120
217.04335896652,128
217.063928957195,136
217.082549978895,144
217.093081972765,152
217.098468133022,160
217.100690764194,168
217.101320700341,176
217.10145220428,184
217.101474742387,192
217.101477766647,200
217.101478088337,208
217.101478120867,216
217.10147812452,224
217.101478124948,232
217.101478124999,240
217.101478125005,248
217.101478125005,256
217.101478125004,264
217.101478125003,272
217.101478125002,280
217.101478125001,288
217.101478125001,296
217.101478125001,304
217.101478125001,312
217.101478125,320
217.101478125,328
217.101478125,336
217.101478125,344
217.101478125,352
217.101478125,360
217.101478125,366
217.101478125,373
217.101478125,381
217.101478125,389
217.101478125,397
217.101478125,405
217.101478125,413
217.101478125,421
217.101478125,429
217.101478125,437
217.101478125,445
217.101478125,453
217.101478125,461
217.101478125,469
217.101478125,477
217.101478125,485
217.101478125,493
217.101478125,501
217.101478125,509
217.101478125,517
217.101478125,525
217.101478125,533
217.101478125,541
217.101478125,549
217.101478125,557
217.101478125,565
217.101478125,573
217.101478125,581
217.101478125,589
217.101478125,597
217.101478125,605
217.101478125,613
217.101478125,621
217.101478125,629
217.101478125,637
217.101478125,645
217.101478125,653
217.101478125,661
217.101478125,669
217.101478125,677
217.101478125,685
217.101478125,693
217.101478125,701
217.101478125,709
217.101478125,717
217.101478125,725
217.101478125,732
217.101478125,739
217.101478125,747
217.101478125,755
217.101478125,763
217.101478125,771
217.101478125,779
217.101478125,787
217.101478125,795
217.101478125,803
217.101478125,811
217.101478125,819
217.101478125,827
217.101478125,835
217.101478125,843
217.101478125,851
217.101478125,859
217.101478125,867
217.101478125,875
217.101478125,883
217.101478125,891
217.101478125,899
217.101478125,907
217.101478125,915
217.101478125,923
217.101478125,931
217.101478125,939
217.101478125,947
217.101478125,955
217.101478125,963
217.101478125,971
217.101478125,979
217.101478125,987
217.101478125,995
217.101478125,1003
217.101478125,1011
217.101478125,1019
217.101478125,1027
217.101478125,1035
217.101478125,1043
217.101478125,1051
217.101478125,1059
217.101478125,1067
217.101478125,1075
217.101478125,1083
217.101478125,1091
217.101478125,1097
217.101478125,1104
217.101478125,1112
217.101478125,1120
217.101478125,1128
217.101478125,1136
217.101478125,1144
217.101478125,1152
217.101478125,1160
217.101478125,1168
217.101478125,1176
217.101478125,1184
217.101478125,1192
217.101478125,1200
217.101478125,1208
217.101478125,1216
217.101478125,1224
217.101478125,1232
217.101478125,1240
217.101478125,1248
217.101478125,1256
217.101478125,1264
217.101478125,1272
217.101478125,1280
217.101478125,1288
217.101478125,1296
217.101478125,1304
217.101478125,1312
217.101478125,1320
217.101478125,1328
217.101478125,1336
217.101478125,1344
217.101478125,1352
217.101478125,1360
217.101478125,1368
217.101478125,1376
217.101478125,1384
217.101478125,1392
217.101478125,1400
217.101478125,1408
217.101478125,1416
217.101478125,1424
217.101478125,1432
217.101478125,1440
217.101478125,1448
217.101478125,1456
217.101478125,1462
217.101478125,1469
217.101478125,1477
217.101478125,1485
217.101478125,1493
217.101478125,1501
217.101478125,1509
217.101478125,1517
217.101478125,1525
217.101478125,1533
217.101478125,1541
217.101478125,1549
217.101478125,1557
217.101478125,1565
217.101478125,1573
217.101478125,1581
217.101478125,1589
217.101478125,1597
217.101478125,1605
217.101478125,1613
217.101478125,1621
217.101478125,1629
217.101478125,1637
217.101478125,1645
217.101478125,1653
217.101478125,1661
217.101478125,1669
217.101478125,1677
217.101478125,1685
217.101478125,1693
217.101478125,1701
217.101478125,1709
217.101478125,1717
217.101478125,1725
217.101478125,1733
217.101478125,1741
217.101478125,1749
217.101478125,1757
217.101478125,1765
217.101478125,1773
217.101478125,1781
217.101478125,1789
217.101478125,1797
217.101478125,1805
217.101478125,1813
217.101478125,1821
217.075821478857,1
216.932158395575,8
216.845263122544,16
216.803924980424,24
216.781498703745,32
216.760934120736,40
216.73471991983,48
216.729010600982,56
216.745509649351,64
216.776740708139,72
216.81804523385,80
216.860479825578,88
216.908606885793,96
216.960386103251,104
217.006463943241,112
217.043296620077,120
217.069969633099,128
217.087140255202,136
217.095882693079,144
217.099525744367,152
217.100905299338,160
217.101344220883,168
217.101452762569,176
217.101474171085,184
217.101477639047,192
217.101478077584,200
217.101478121181,208
217.10147812501,216
217.101478125247,224
217.101478125187,232
217.101478125135,240
217.101478125099,248
217.101478125072,256
217.101478125052,264
217.101478125039,272
217.101478125029,280
217.101478125021,288
217.101478125015,296
217.101478125011,304
217.101478125008,312
217.101478125006,320
217.101478125004,328
217.101478125003,336
217.101478125002,344
217.101478125002,352
217.101478125001,360
217.101478125001,366
