tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline
1,5.73129609852584,15.8095403760408,7.76236335819351,25.4632308491054,6.34681378836529,8.74837730451037,77.7153155753597,12.3759128621356,88.8397976101027,88.8397976101027,15.6899507786503,16.3123298012519,17.9662646079435
8,6.05655620640733,16.283091515381,7.86696890352829,24.0003296094309,6.24923116453588,10.1699154124961,80.1009207197315,12.1156466837706,90.9894469865235,90.9894469865235,15.6899507786503,14.0067547514338,18.8686303750661
16,6.26842761294191,15.9313333950664,7.78627343978223,22.170984984591,6.18447755913057,11.4264504904255,76.5168541587171,11.584883996053,92.9298022541523,92.9298022541523,15.6899507786503,11.6369018083918,19.321431481341
24,6.94287894258608,15.7748250625607,7.69322676831163,21.4684310552381,6.41753162766488,15.4128861734686,72.3360336432043,11.1073035633738,107.132026016261,107.132026016261,15.6899507786503,9.78633692240887,18.1530896650843
32,7.74861059166556,15.7862423993426,7.67734387971704,21.2972818829689,6.74274838414302,17.010940407211,67.170636615771,10.7872424649007,118.229223346012,118.229223346012,15.6899507786503,8.42323258035787,17.6231433730679
40,9.01793399887931,15.8641404342167,7.78734047772774,22.107576271881,7.30667445086079,20.4426680397481,66.2472698446487,10.6789526796756,136.506053650777,136.506053650777,15.6899507786503,7.48393609098046,15.8075869652816
48,9.9513646870626,15.7868061835326,7.97659327568117,22.7022029807688,7.70963769313166,16.9811088957554,64.1698674227026,10.7026710833273,138.080860544295,138.080860544295,15.6899507786503,6.96403409927003,13.9198847021723
56,11.7329555515339,15.7844341842052,8.18662244343519,24.4678545257878,8.56071466286727,22.5908064110652,66.7110780099177,10.7591209576428,161.633357340841,161.633357340841,15.6899507786503,6.74108810436311,12.1321126115307
64,14.5801231087938,15.9362595873049,8.4629699737511,27.7909235052731,9.96713662103884,23.5885032639427,71.7441628051675,10.8982710480813,194.791743723001,194.791743723001,15.6899507786503,6.6669420714131,14.9364293981606
72,17.2964752550433,16.1272469545386,8.61677561079691,31.0281221749531,11.5105923929232,22.3466477899635,77.8631096760121,10.8739947066693,219.999827181482,219.999827181482,15.6899507786503,6.53225703681519,18.4548119182033
80,19.6560425065239,15.6555880484751,8.24785106238149,33.5799943136466,13.6770895634423,23.5988285288709,69.0428554032331,10.2137945154352,258.967125510254,258.967125510254,15.6899507786503,6.3139163214466,21.1264127794139
88,20.0479633762548,15.1278978811061,7.62542730651621,33.9457823751116,15.597343809374,19.0659616377328,62.0967655795699,9.28907629488623,273.77687593802,273.77687593802,15.6899507786503,6.16549754513013,21.2016258380079
96,20.8235953744123,15.4000740858887,7.44830200214102,35.5275188582012,17.2994452628125,19.5569877026931,57.7845431301723,8.94725579988972,283.722083866092,283.722083866092,15.6899507786503,6.45043869525941,15.2711551537734
104,22.4530209516612,15.088474090464,7.47912409127466,39.1693110836359,19.7591401424831,21.3862100296443,56.2806824979865,8.88116823773637,320.445848584365,320.445848584365,15.6899507786503,7.75974304258034,6.44646643332984
112,23.8224013881152,15.0388075931421,7.60353214312674,43.950916680445,22.2481668312115,19.8263248117529,58.1473189459966,8.92415987377725,350.820766308283,350.820766308283,15.6899507786503,10.9814253927562,0
120,25.8903324129814,15.7196050439679,8.12795164941345,52.9592081518758,24.7014097026832,20.242345804506,67.4820891809367,9.4042080805691,383.005483059394,383.005483059394,15.6899507786503,18.4217576480562,0
128,27.4490282996897,17.3531218609167,9.57598425615442,70.3605882593758,26.5997886709416,18.6671872906098,85.6174771805796,10.8783401515287,404.152653824302,404.152653824302,15.6899507786503,35.4431255705095,0
