tavg,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly
1,2.89981416153959,2.85475581605671,2.76756057715367,5.99021597472708,3.03665203319438,2.79071405738289,5.8926136649556,4.04379136655113,6.24682574976153,6.24682574976153,2.77524934963041
2,2.83452982186246,2.84471140872029,2.79370502220504,6.04209847421688,2.94066894256647,2.73085650169903,5.96431070766724,4.08524426654899,6.22427904655106,6.22427904655106,2.76945893263315
3,2.81894413940876,2.82472216258434,2.80354973858597,6.07309849003863,2.86493112324729,2.73074091039196,6.01970947144566,4.11876152328513,6.19956664745569,6.19956664745569,2.76519821649226
4,2.74735170407603,2.80064425269897,2.78944333696276,6.05908341932059,2.80130700637721,2.68640941448406,6.03736207225603,4.1269013136916,6.16575982862819,6.16575982862819,2.76205341943411
5,2.76710126097561,2.78254358223597,2.76428137359331,6.03749947278829,2.7692676376867,2.72250472516766,6.02724479145074,4.11469912547487,6.15537148403885,6.15537148403885,2.75972705078945
6,2.69398056150939,2.76275627018252,2.72071859303637,5.97178166497288,2.74011313675798,2.67227936158998,5.98242309052258,4.07161862607297,6.13431476465444,6.13431476465444,2.75800327661623
7,2.58113486974088,2.74393589337685,2.67063912969374,5.81960393522578,2.68176175148687,2.58718664477993,5.90245650917189,4.00362307095326,6.0623955823411,6.0623955823411,2.75672445658018
8,2.5641627177015,2.72940155892786,2.63764859308309,5.64892175335373,2.63085583452854,2.59192450141749,5.79152771107322,3.93830900667894,5.99172817462045,5.99172817462045,2.75577488467228
9,2.50968610235058,2.70916941880138,2.60520555781714,5.50886663808216,2.59135504337959,2.56548267095429,5.68695524259405,3.8680404863629,5.92899748307653,5.92899748307653,2.75506932389502
10,2.48814678666216,2.69282649862998,2.56007166149198,5.38550045457342,2.56294335488373,2.57101876199539,5.60701739851036,3.77860312608853,5.87617672698662,5.87617672698662,2.75454481293227
11,2.41630249149239,2.68101977128848,2.50941003357348,5.25264326973366,2.5369461424734,2.54107167625453,5.52548550929413,3.67805100488346,5.82024101878306,5.82024101878306,2.75415475134722
12,2.31968849494018,2.66171668918125,2.47244260817586,5.10704961885455,2.49332551871043,2.47271214649346,5.45407060005416,3.58832007657952,5.73256118373012,5.73256118373012,2.75386459673335
13,2.20194077925128,2.65775472612842,2.43569987425965,4.94069707046562,2.43025655529391,2.38974608408029,5.38393144705603,3.50153533384735,5.61073117387268,5.61073117387268,2.7536487163227
14,2.18036600260587,2.65962745547959,2.39789691094633,4.77872312904206,2.38026899230595,2.40870787404241,5.30869906421071,3.40947024277376,5.51494759645566,5.51494759645566,2.75348807324761
15,2.09472464238725,2.68677832000219,2.36099852556889,4.61428649281205,2.32763751150742,2.33878631838333,5.22825990305456,3.31745261230281,5.40698794108079,5.40698794108079,2.7533685206168
