tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline
1,0.00946109438060768,0.0167708742920667,0.00734953285212576,0,-0.00716987111345994,0.0322418998690622,0,0,0.00763267144439397,0.00763267144439397,0,147.56515947243,0.361926479537574
8,0.0105762594710262,0.0134001488158346,0.0077926567808186,0,-0.00656809410115665,0.013060447735667,0,0,0.00450727217098342,0.00450727217098342,-1.01330134528969E-16,147.032445838123,0.36354564526607
16,0.00787476290938044,0.00408018312325643,0.00489871792980789,0,-0.00600560495308081,-0.00622032273276001,0,0,0.00330500841100295,0.00330500841100295,0,145.984824981722,0.363273972898364
24,0.0174458248237516,0.0047870036288493,0.00424744322598742,0,-0.000654037998379157,0.0189389408049594,0,0,0.0259832214671458,0.0259832214671458,0,137.169771497274,0.359641001206331
32,0.0119150819750174,0.00341964804631859,0.00348748020146679,0,-0.00242828931164319,-0.038646650241464,0,0,0.00266423049768563,0.00266423049768563,0,128.692299999708,0.358120620077176
40,0.0204042886406055,0.000522822205852862,0.00263281631304867,0,0.00469075093050074,0.0168305307073487,0,0,0.0236869533480517,0.0236869533480517,0,116.171640486916,0.355201557694336
48,0.00154009091917754,-0.00210500310230086,-0.00308185972688552,-0.00567547454915264,-0.00314726622347359,-0.0542126338331485,-0.00567547454915264,-0.00567547454915264,-0.016938247952286,-0.016938247952286,0,112.18763736382,0.358132314253628
56,0.0254520978418278,0.00457471260719379,-0.00164442846172749,-0.00598958561896722,0.0116728674810342,0.0739656571758526,-0.00598958561896722,-0.00598958561896722,0.0349904267095024,0.0349904267095024,0,97.245363237796,0.357906599173182
64,0.026195602985918,0.00798899857093449,-0.000182262288211385,-0.00634050291348576,0.0119199905877265,-0.0320111202123306,-0.00634050291348576,-0.00634050291348576,0.0127065965216396,0.0127065965216396,0,75.6944655502828,0.357758306875058
72,0.0364763554575795,0.0133102206181616,0.00789856473660464,0.00864583742129626,0.0147653064443492,-0.0236416609620972,0.0299792485554264,0,0.0106814332735549,0.0106814332735549,0,58.7426790231613,0.357662973286555
80,0.0375323948633285,0.00751855373680528,0.00593147870018711,0,0.0217889185996743,0.0272879113866286,0,0,0.0155098439583539,0.0155098439583539,0,37.3871942898373,0.360359863502712
88,0.0193602276015952,0.00616191310183145,0.00348446358820704,0,0.0145548808888948,-0.0393925373102254,0,0,-0.0087902669732829,-0.0087902669732829,0,30.5500163607806,0.360540739202378
96,0.0121694048792722,-0.00384085284521258,-0.00366655078753195,-0.00499360611845741,0.0189765886409507,0.0302983998825519,-0.00499360611845741,-0.00499360611845741,0.00518192643869446,0.00518192643869446,0,26.3168716507587,0.357314561805784
104,0.0109302590885291,-0.00623199161085988,-0.00500954296472286,-0.00454699946081483,0.0247856708429818,0.0017635524291312,-0.00454699946081483,-0.00454699946081482,0.00569200363931612,0.00569200363931612,0,15.5795079111088,0.357552457123476
112,0.0142195265149601,0.0108541980660956,-0.000879377382040581,0.0271140064354443,0.0223028013066147,-0.0247882549786768,0.0251941243172457,-0.00567262940654922,-0.00205205713170614,-0.00205205713170614,0,13.4457789693211,0.359072694656843
120,0.0301581823251361,0.0333515089526748,0.00758765878180654,0.0309022286119272,0.0246783043296943,0.0218000221203877,0.0305979479728789,-0.000869261288396314,0.00137971397037877,0.00137971397037877,0,10.3017040317819,0.363026456769772
128,0.0414321728827783,0.0674099089256811,0.0274793992413777,0.0479233965423749,0.0154545974373479,-0.0183582783941157,0.0492848826559343,0.0130900061207398,-0.00131886049378307,-0.00131886049378307,0,10.6485178995026,0.377615406198933
