tc,P,P025,P05,P1,P2,P4
1,-0.000506861205340357,-0.00469212933289385,-0.00330737939595427,-0.00120416588471478,-0.000152393674155581,0.00037707194988688
8,0.00123436651051034,-0.00359036595476096,-0.00161128381338703,0.000551275861543946,0.00164597483357643,0.00219917270342324
16,0.00923203865816302,-0.000130019552841216,0.00502546112725112,0.0079661686274314,0.00951037328789774,0.0103043839322448
24,0.0213977115144422,0.00980158958448079,0.0161779228406563,0.0198197204537723,0.0217356214416595,0.0227198285478052
32,0.0117748590855037,0.00210857118073299,0.00744461631199813,0.0104336479853334,0.0119780532749318,0.0127621678988943
40,0.0324434779947549,0.0191066627918661,0.0264903895052431,0.0306004783907334,0.0327125742510811,0.033779535989016
48,0.0173527952922066,0.00733819839035059,0.0129994391400378,0.0159948016043792,0.0174596422382408,0.0181752252886166
56,0.0410086844253661,0.02781820524349,0.035466971724198,0.039360785678332,0.0411962874593406,0.0420695763573125
64,0.0141019312905935,-0.00025160564945209,0.0082724718009444,0.012433172654267,0.0143142988726724,0.0151815261219292
72,0.0154454355655004,0.00207759679948461,0.0103326641573047,0.0140616384664568,0.0156062817483104,0.0162686666408373
80,0.0440294923384123,0.0314507988521185,0.0405255643814575,0.0437358347187565,0.0446580824618021,0.0449074836797394
88,0.0408505039120119,0.038137481867847,0.0432388959117987,0.0429844765580628,0.0417539271226377,0.0408278927273646
96,0.0525156083366059,0.0644488469387453,0.0629324474707531,0.0575978173604007,0.0534992833240725,0.0510785038739248
104,0.0728343440785366,0.116053523549846,0.0969701000602174,0.0818081180630404,0.0727114961528272,0.0677358905748279
112,0.0228258719578616,0.0984168723570443,0.0592831626929322,0.0331054700520169,0.0172714674660239,0.00879552511624559
120,-0.0358908290082578,0.0632616334319653,-0.00358678794965202,-0.0345888836908082,-0.0408791790567397,-0.0410863370380917
128,-0.0249107754907377,-0.0618143951964551,-0.0490234564763678,-0.0287548110286277,-0.0209456198270546,-0.0177180710903065
136,-0.0296711098348812,-0.0388106052168641,-0.0334164233244418,-0.0308045121204024,-0.0268701406472789,-0.0250440445468409
144,-0.0297524422847975,-0.0345094757786652,-0.0313315092346221,-0.0294436305728801,-0.0288244583594554,-0.0284976579137352
152,-0.0110391536391326,-0.012288020802289,-0.0115088411268957,-0.0109766313949578,-0.0108048171284887,-0.0107112375229659
160,-0.00717348146623041,-0.00768510084077819,-0.00737371947792475,-0.00714406871792695,-0.00707229541628552,-0.00703238233133665
168,-0.0160875291930346,-0.0163927284775743,-0.0162460171055039,-0.0161365262766415,-0.0161011431043653,-0.0160814587531933
176,-0.00168363971005382,-0.00209666840988093,-0.00192341802574119,-0.00181362071504209,-0.00176931482966175,-0.00174585796953069
184,-0.00561199902711975,-0.00583523442794645,-0.00572618257500971,-0.00565779189380061,-0.00562965361614908,-0.00561479792197533
192,-0.00565811252717763,-0.00581364101926227,-0.00575743356314462,-0.00572096024835934,-0.00570624474857331,-0.00569840921766533
200,-0.00171467880660753,-0.00194208403229489,-0.00186379199910095,-0.00181866663934251,-0.00179822966669253,-0.00178766459075711
208,-0.0121452465025607,-0.0124838457820094,-0.0123891327733829,-0.012337541712861,-0.0123129509133237,-0.0123004060467524
216,0.00129730520484349,0.00104415079473399,0.00110139479542341,0.00113311459495591,0.0011481824032737,0.00115589992762257
224,-0.00385255411550982,-0.00400952951391064,-0.00395615695064211,-0.00392733045647814,-0.00391346766214504,-0.00390640919605843
232,-0.0198446684349161,-0.0203181472526244,-0.0202421972738417,-0.0202021718453221,-0.0201823505110456,-0.0201723141500838
240,0.00425721273599392,0.00380935318595135,0.00392722747446983,0.00398847237477625,0.0040191785974429,0.00403467658530557
248,-0.0104005808988945,-0.0106993907513734,-0.0105994010736813,-0.0105476497552668,-0.0105216993978404,-0.0105086136710081
