tc,P,P025,P05,P1,P2,P4
1,0.00476522397404946,-0.00531427341653996,-0.00304883253432467,8.25016952253249E-05,0.00131638946298942,0.00151017766552256
8,0.00726461650291274,-0.00186944987391666,0.00211422808821426,0.0073094352353549,0.00872847559388384,0.00891728698275503
16,0.0041523821409701,-0.00494879298746198,-0.00171611097331459,0.00249205850790736,0.00372863234041096,0.00390218950837442
24,-0.0153340249307371,-0.0250481874151756,-0.0191728472261573,-0.0112898216767124,-0.00938458377705931,-0.00915219234112153
32,-0.00345018689354641,-0.0166517404700673,-0.00635391992354841,0.00745361085469552,0.0105192871883916,0.0108733382663745
40,-0.00256580311232794,-0.0148663773311162,-0.00387422177335986,0.00715298431235007,0.00783091750085903,0.00779212831805492
48,0.0050264244632004,-0.00814074758067717,0.00558846481466304,0.0167042497778207,0.01622909513944,0.0160112383583826
56,0.0110403997856519,-0.000742782224859663,0.0150843093813986,0.0221340494494032,0.0189846698429441,0.0184026806227252
64,0.0180731931290876,0.00967285579604424,0.0270898295044397,0.0261413977425809,0.0200198263347125,0.0191167906330288
72,0.0345011603069235,0.0330039995010541,0.0520995523253208,0.0373821012692548,0.0286643174976438,0.0275916399190876
80,0.0444201895078436,0.0623566922510082,0.0723905512528753,0.0283854400620043,0.0182743028248903,0.0172575536046467
88,0.0274340615792118,0.0768310055207157,0.0552067807467113,-0.00833270329911132,-0.0123367816641062,-0.0125890521392397
96,0.0116129084173323,0.0933771014502699,0.0277532753192914,-0.00887154506207584,-0.00727780458852767,-0.00707496374221881
104,0.00214582429215973,0.0964369690661572,0.00108894727620267,0.0026421575034524,0.00381886478374223,0.00392437508424288
112,-0.00690097491374277,0.0244430881885618,-0.0172208146350826,-0.00334142227148176,0.102169720589308,0.102321738595773
120,0.0031169662049705,0.0752772487596531,-0.00493170973559043,-0.00610347802253976,-0.00320366350369476,-0.00289178132146729
128,-0.0292724970320614,-0.0396931425476875,-0.0164482066778951,-0.00859671997613832,-0.00724088817884969,-0.00706069722925827
136,-0.0146651494328994,-0.0137541621532199,-0.00867385379741724,-0.00590719103062055,-0.00523099313722585,-0.00513506216544565
144,-0.0150808755846348,-0.0162857033420827,-0.0136178710878109,-0.0110982149981701,-0.010439375965753,-0.0103483047240271
152,-0.00636378477889504,-0.0062840969011701,-0.00559368573159789,-0.0046648071793017,-0.00436933831752915,-0.0043267194622621
160,-0.00481854674270585,-0.0047877104540385,-0.0045877896378926,-0.00416544208532422,-0.00400696044767079,-0.00398338624538514
168,-0.00534314136180488,-0.00539064156255291,-0.00524981832411951,-0.00495481519481041,-0.00484563412536068,-0.00482949880443625
176,-0.00315145892012699,-0.00412273782790835,-0.00374933413181985,-0.00327314938004802,-0.00313661407175654,-0.00311768207710573
184,-0.0039036546373822,-0.00455992342597288,-0.00438074265873383,-0.00411659363335976,-0.004035406859514,-0.00402398789566873
192,-0.00341664748315964,-0.00393657866518696,-0.00389569531453681,-0.00377971655098474,-0.00373684049785218,-0.003730605825259
200,-0.00216320579449877,-0.00338727039084277,-0.00303932031490606,-0.0026645428923829,-0.00257081416826381,-0.00255835547780636
208,-0.00220532577811562,-0.00402787505916835,-0.00343039218078904,-0.0028426998344148,-0.00270644715168487,-0.0026887472473857
216,-0.00172177555554936,-0.00311934015065549,-0.00271211068776386,-0.0023034109287441,-0.0022075412228339,-0.0021950570469854
224,-0.00371025849233432,-0.0052882843400826,-0.00500879901649537,-0.004724329940484,-0.0046570417650646,-0.00464826385766587
232,-0.00159056572859848,-0.00410514369640532,-0.00316924506867873,-0.00229163687856567,-0.00209781706792886,-0.00207304661767188
240,-0.00297487799307618,-0.00626248759786802,-0.00514999007020712,-0.00409656105150372,-0.00386335296300347,-0.00383356410366915
248,8.77932260503545E-05,-0.0021986586524759,-0.00135456671937634,-0.000542510318555128,-0.000360955391804846,-0.000337718380435257
256,-0.00216956054861208,-0.00432792389615544,-0.00367472001317121,-0.00303578515240344,-0.0028916059086255,-0.00287311898886353
264,-0.00224821301231533,-0.00443976273368873,-0.00368322516288435,-0.00293172805279413,-0.00276070002476539,-0.00273874176270554
272,-0.00907149470233685,-0.0130508239569364,-0.0126035193657333,-0.0121068834246053,-0.0119873835824603,-0.0119718771064629
280,-0.00334092701321751,-0.0047417152641305,-0.00408158569757588,-0.00342315973454556,-0.00327119034687602,-0.00325160677340703
288,-0.002718308147612,-0.00454310703153794,-0.0040095433925661,-0.00344578675504409,-0.00331198118105691,-0.00329464896811499
296,-0.00860482456610666,-0.0129364387409201,-0.0121170332455767,-0.011123555312926,-0.0108739709331228,-0.0108413255368746
304,-0.004398411036306,-0.00647964759365161,-0.00533760966849277,-0.00414670561243392,-0.00386378422148724,-0.00382708586328733
312,-0.00173474207342504,-0.00366231278111604,-0.00264769776419535,-0.00157360871671844,-0.0013143157330639,-0.00128055079093618
320,-0.00728955242149266,-0.0112346432724065,-0.0106469770005656,-0.00976106480701324,-0.00951097263582007,-0.00947748554007665
328,0.00355301880694879,-0.00416838262903518,-0.000111870651399709,0.00827868551616861,0.00958136252385246,0.00975226731668249
336,0.0175831285686261,0.0110183712432408,0.016028523360432,0.0215282622811193,0.0227307848604174,0.0228865525617749
344,0.0255278051108297,0.0186822531307156,0.0247019001104427,0.0310413197882203,0.032558430389759,0.0327557825921191
352,0.0220372691102185,0.0113141355451931,0.0164087359131943,0.0222498746082658,0.0238050777266366,0.0240130780888392
360,0.0179721238603341,0.0028180433638463,0.00727998611722063,0.0140259990924463,0.016294605729259,0.0166166928800066
366,-0.0300275307905668,-0.038680099169093,-0.0356925531975819,-0.0342003000466357,-0.0344176716208553,-0.0344736869417213
373,-0.014459398324774,-0.0240695184093836,-0.0154393848814697,-0.0057019062086382,-0.00343441942141813,-0.00314733579801087
381,-0.0112459265315796,-0.0212692281149866,-0.0123947277243129,-0.00391051813712141,-0.00240017152053617,-0.00222822683594985
389,0.002291854693577,-0.00837402371325061,0.00449304420170987,0.0157282889933608,0.0173270644092932,0.0174881373227703
397,0.016077469510869,0.00575878730254292,0.0210762793180557,0.0297373720900832,0.0294926564460608,0.0293806044672523
