tc,P,P025,P05,P1,P2,P4
1,0.0147799677205475,-0.00438708183200675,0.0039723038547262,0.0136513387546143,0.0158874960506361,0.0161740496716276
8,0.0160307240594648,-0.00338648317748641,0.00541495950355377,0.0149946626186527,0.0171083761170123,0.0173750180015236
16,0.0105625950918234,-0.00246486305781263,-0.000244386767331489,0.00920090210059123,0.011337255047693,0.011608112967846
24,0.0216544111665077,-0.00182514228634114,0.00777659170419149,0.0198617654071434,0.0226319707890112,0.0229835706977193
32,0.0148653193886486,-0.00140628025560615,0.00259320777476719,0.0132596609622418,0.0155362142431884,0.0158169512589416
40,0.0248118177233363,-0.00113243412298637,0.0101395442736123,0.0228923213925954,0.0255244333871266,0.0258437847405347
48,-0.0216080168030982,-0.0337032493004298,-0.0334058222215881,-0.0231279784336293,-0.021129302302751,-0.0208945573658328
56,0.010254279754347,-0.0249587017365186,-0.00916023711056038,0.0080144142399359,0.0115346672869582,0.0119588613990831
64,0.0150943087696085,-0.0205743497230779,-0.00360375112188047,0.0134533711601383,0.016382020785596,0.0167067381137998
72,0.0606484204799928,0.026841089961969,0.0454375585185662,0.0603425111795047,0.0615206143607266,0.0615765538401335
80,0.0593149630660563,0.0287185941918853,0.0480416894072544,0.0597190167157378,0.0590476928198976,0.0588358575098493
88,0.0329244799491181,0.0119420337912897,0.0272894866652058,0.0337027724350206,0.0315978429137059,0.0311830696031882
96,-0.00131608334851923,-0.0197518051543019,-0.00459317803031403,-0.000165750073680858,-0.00340832365597502,-0.00401951294347412
104,0.00240975509192693,-0.0177459595031607,-0.00169174036429049,0.00354456828476386,-0.000131619070768407,-0.000850689534046273
112,0.0111705052595409,-0.00261996388381075,0.0163629042360845,0.0157446078151248,0.00845607558688203,0.00720366322436014
120,0.0331828919159845,0.0451682263065842,0.0675661919433105,0.0451046529359512,0.0295057770331348,0.027256433335245
128,0.0339102980297173,0.153656206172592,0.152116800966198,0.0571173088055419,0.0275167641216772,0.0245466344464142
136,0.265985463118658,0.656519171752524,0.51730352042241,0.0360071861360834,0.266007399135896,0.266710864026243
144,-0.0662010298454908,-0.022576230161703,-0.00242917686570357,-0.0775336117910046,-0.0603344364632223,-0.0595015086044944
152,-0.0192223686483016,-0.133092455074265,-0.0380199270550799,-0.0214005770093478,-0.0190067282137553,-0.0189249790431491
160,-0.010397861425402,-0.0221240670193832,-0.0155666468099434,-0.0112135134655587,-0.0103548201984232,-0.0103273596740784
168,-0.00918748070658866,-0.013439126890632,-0.0112997650076709,-0.00953881385759386,-0.00915432815287797,-0.00914194013333168
176,-0.0102171204393687,-0.012456681804454,-0.0114099908540244,-0.0104640829462888,-0.0102487423554267,-0.0102394222431903
184,-0.00154960510834298,-0.00275309840418555,-0.00224976094045277,-0.00175742701617773,-0.00163987990997758,-0.001635796606578
192,-0.00754603888199649,-0.00825401624565293,-0.00795532364618371,-0.00765694883529104,-0.00758493174270926,-0.00758219167224481
200,-0.00134935855686422,-0.00196023753761906,-0.00172379601540336,-0.00148729436362426,-0.00143087771590102,-0.00142779340378577
208,-0.00598913841251644,-0.0066075435423374,-0.00634803750493719,-0.00610425699054453,-0.00604891368901159,-0.00604448981557275
216,-0.0015189943095907,-0.00192460052267946,-0.00177634290512409,-0.00163208927955805,-0.0015986400506751,-0.00159609569730414
224,-0.00355815394262755,-0.00384862481134502,-0.00374553297743423,-0.0036451833126296,-0.00362191680016738,-0.0036201103740293
232,-0.0118423460822853,-0.012924194675748,-0.0124861048515408,-0.0121063537050067,-0.0120262688134152,-0.0120169357070459
240,0.00122045318437936,-0.000122458772879626,0.000455876886920258,0.000955425632553519,0.00106015168073539,0.00107281837390173
248,-0.00312269280846315,-0.00411985253654998,-0.00367355231698526,-0.00328655639603258,-0.00320526250155829,-0.00319540443435656
256,-0.0050645676528044,-0.00585969200205505,-0.00551067337755088,-0.00520653326974248,-0.00514248779710477,-0.0051346861590244
264,-0.00989863408227764,-0.0113284955390893,-0.0106873015538285,-0.0101232268234886,-0.0100041256748561,-0.00998928026110369
272,-0.00971024679555361,-0.0112534316768125,-0.0105591254700331,-0.00994261022428981,-0.00981174515384155,-0.00979533029780637
280,-0.00860085728516707,-0.0100837359599181,-0.00941231303008441,-0.00881245461897718,-0.00868460317222884,-0.00866851351523423
288,-0.00786423866108165,-0.00934896641359035,-0.00866861799665069,-0.00805751490650613,-0.00792679102925996,-0.00791029885196475
296,-0.020237926403139,-0.0248563546602374,-0.0228234505359755,-0.0208080524756689,-0.0203543582322367,-0.0202963718717072
304,0.017398219003781,0.00941594242873531,0.0133010211083965,0.0168474228342523,0.0176119472452801,0.0177089047963096
312,0.00969869259431257,0.00312571440726078,0.00616927532603892,0.00895202580330744,0.00955604416299643,0.00963280800963603
320,0.00570970942544724,-0.000514685442206683,0.00239981384985995,0.00507567337439757,0.00565804879437691,0.0057321062982376
328,0.00804313360074037,0.00316033623040981,0.00579978369823256,0.00784409097527452,0.0082294134348582,0.00827672148203672
336,-0.00310159019815402,-0.00539332198067279,-0.00401136855673897,-0.00324956685124463,-0.0031525006295504,-0.00314194258037923
344,0.0128798157687686,0.00574037622935377,0.00956235496935444,0.0129340544858091,0.013647033790354,0.0137371399576461
352,0.00998480839239351,0.00147558472755631,0.00577915971516546,0.00973939488679148,0.010598358265573,0.010707485810389
360,0.0101324538414457,-0.00202999659333763,0.00356394103710452,0.00934486390036687,0.010701963890997,0.0108774346752523
366,-0.0122549218492697,-0.0105914417490775,-0.0155326009663271,-0.0129132300675668,-0.0123610675525447,-0.0122915603298184
373,0.0147244854590167,-0.00100895741952625,0.00639130629688173,0.013959324014821,0.0157282131773337,0.0159561592108861
381,0.00860544507069238,-0.00586019664428469,0.000206208005880753,0.00750168568053552,0.00920473571662424,0.00942390912258512
389,-0.0303659774714177,-0.0471764056608197,-0.0392464179513199,-0.0313306969617324,-0.0295949216508891,-0.0293758855768282
397,-0.00557728979448187,-0.0320213526210347,-0.019823943812039,-0.00690765131673023,-0.00397196631150362,-0.00359826978245608
405,0.00691272968894819,-0.0235656243368619,-0.00919971827206485,0.00553660278940628,0.0087028293087323,0.00909819403937442
413,0.000136426252064157,-0.0272350320711211,-0.0137413666211175,-0.000897804786037182,0.00154256500175852,0.00183385913895331
421,0.0153246497204582,-0.0161511456065109,-6.43483106595003E-05,0.0144644006116004,0.0169725054211497,0.0172610327333823
429,0.0179746191820768,-0.0122528000362494,0.00437179204606117,0.0176050582112574,0.0193371680669486,0.0195109089720584
437,0.0760496260349009,0.0499597522053238,0.0673323974884287,0.0766783151647288,0.0765089702665716,0.0764110918300341
445,0.0752563756042362,0.0613738113961686,0.0776439554505061,0.0770971224301734,0.0733388951415098,0.0727524414071005
453,0.0543612353277717,0.0610907811702152,0.0719751714819527,0.0574934126403325,0.0494471963610068,0.0482678918238891
461,-0.0165926169462084,0.0157625767833064,0.0192705111614298,-0.0112060663469149,-0.0250132069265665,-0.0269157127308558
469,-0.0289499213007134,0.0099857775830159,0.0107021054427696,-0.0240433491880074,-0.034362896239826,-0.0353731214187429
477,-0.00616920782703467,0.0421586024462883,0.0359384775493076,-0.00296683753104147,-0.00576188483789218,-0.00573600862007991
485,-0.00538324554947944,0.0723947979816934,0.0446978145162262,-0.00365866198275519,-0.00305301239447076,-0.00283081238476051
493,0.00942255279956469,0.125131344936741,0.0506978392181176,0.00900480043702857,0.0119564594976097,0.0122436048858145
501,-0.00356454315463155,0.11471465371402,-0.0185015709587263,-0.00499966796663182,-0.00222297064653424,-0.00197902555891354
509,-0.0171015938606866,-0.00783549526904085,-0.0476751171393128,-0.0183342282494462,-0.0163714370877486,-0.0161592025568492
517,0.0724089492420802,-0.0674344692273218,-0.0913547501249915,0.0422516072016714,0.0690864560242008,0.0690621707017272
525,-0.0143554540632762,-0.0481190827546016,-0.0246125873734143,-0.0143148319375261,-0.0128241856834183,-0.0126260433635516
533,-0.0145362183396208,-0.0226042303193105,-0.0181315194588484,-0.0145297022775882,-0.0138525077005019,-0.0137588829777574
541,-0.0213250614625327,-0.0257540977682333,-0.0236544261168831,-0.0215833362207379,-0.0211371269664512,-0.0210769047236293
549,-0.00430220463250135,-0.00632358557989519,-0.00544782513938784,-0.00450090514584385,-0.00428722540686754,-0.00425804265244174
557,-0.0140916882705157,-0.0152473832948706,-0.0147697787992479,-0.014244991709648,-0.0141248954715254,-0.0141084717257834
565,-8.49203603539377E-05,-0.000667599675272238,-0.000471482281250194,-0.000222429508108066,-0.000162504836779623,-0.000154113179330786
573,-0.00604561538872033,-0.00640709513033821,-0.00627380862472819,-0.00610960880340414,-0.00607034451922201,-0.00606485143954103
581,-0.000415227785965247,-0.000627290184560242,-0.000577810381932563,-0.000498192188879806,-0.000477733169817677,-0.000474774289313111
589,-0.00712059969236893,-0.00731471246590205,-0.0072555785735149,-0.00718192018701217,-0.00716417528702518,-0.00716168754918432
597,-0.00228082883410749,-0.00300370424440302,-0.0026921590422313,-0.0024088734489646,-0.00234824469602485,-0.00234043616195969
605,-0.00788643429923249,-0.00878535532104002,-0.00839092458656142,-0.00803955249116492,-0.00796506611896249,-0.00795555986128834
613,-0.00300113280523761,-0.00372842237591924,-0.00341529235824767,-0.00313689428056755,-0.00307789455938284,-0.00307037410535961
621,0.00314333385278112,0.0026398197795076,0.0028228668673607,0.00299123074490567,0.00302756212356181,0.00303221908640913
629,-0.00469349675167994,-0.00581593129793155,-0.00529252768030804,-0.00482710363362562,-0.00472844767739745,-0.00471593908020333
637,-0.0104113216987822,-0.0115662925594497,-0.0110362574721726,-0.010560171447423,-0.0104586256583414,-0.0104457474099757
645,-0.0113515054340525,-0.0124554602972974,-0.0119559289246315,-0.0115054257752862,-0.0114089861644784,-0.0113967529292311
653,-0.0219442253930723,-0.0228685449880918,-0.0225180937865845,-0.0221800581873905,-0.0221051478440049,-0.022095586474536
661,0.000170019458567251,-0.00162072816225632,-0.000706576104604954,6.07683899494896E-05,0.000218828203444781,0.00023871368170608
669,-0.0128476780599198,-0.0139438211789869,-0.0135037724840173,-0.0130734072945639,-0.0129767492195958,-0.0129643819386648
677,-0.00422909459177851,-0.00613946865336041,-0.00516634218519038,-0.00431208996963563,-0.00413200496985288,-0.00410925613233805
685,0.0088054459141713,0.00423935939201788,0.00677990914454222,0.00817119172884336,0.00904645628912359,0.00908064255842352
693,0.010271255471451,0.00729636773179665,0.00892713870140222,0.0101319723435405,0.0103989481131314,0.0104285840124599
701,0.00554498130775339,0.00300751868537776,0.00435076111429513,0.00546822796837842,0.00564818023066982,0.00567683937278087
709,0.0260738260379828,0.0197345793533988,0.0232216634409203,0.0263565297124586,0.0269483162557732,0.0270321017500383
717,0.0333788203551055,0.0219389923292846,0.0277981771466308,0.0334508793818474,0.0346433722759583,0.0348034676713441
725,0.0217261612248996,0.00722962399468072,0.0140456424919345,0.0211466113722793,0.022762954747007,0.0229765369200223
732,-0.00889650394682648,-0.00843241925098589,-0.011545062723791,-0.0105009029299764,-0.00887684335216562,-0.00865774917653205
739,-0.046555547935778,-0.0487379851869612,-0.0508081614608598,-0.047941762416998,-0.0461270275554717,-0.0458850317037655
