tc,P,P025,P05,P1,P2,P4
1,0.00476522397404946,0.00410348081883614,0.00262629835062181,0.00398677825938161,0.00582692403080342,0.00616533685485576
8,0.00726461650291274,0.00454194882491776,0.00335754486163012,0.00446107506552477,0.00585665342114542,0.00611141609216597
16,0.0041523821409701,0.00253128072088434,0.00192597715319658,0.00331268099734749,0.00446615771986264,0.00466631911947149
24,-0.0153340249307371,-0.0184827378716547,-0.0188299905749703,-0.0166296596387005,-0.0141097516283179,-0.0135738636539897
32,-0.00345018689354641,-0.00788675559584102,-0.0073733336380105,-0.00184270296092739,0.00410666488562603,0.00542323365206837
40,-0.00256580311232794,-0.00700895502736756,-0.00715869722006364,-0.00516551662048629,-0.00119834464874237,-0.000163403555687592
48,0.0050264244632004,5.58331679563122E-05,-8.61546932107634E-05,0.00148017032680128,0.00633042224562236,0.00776052230527838
56,0.0110403997856519,0.00547955118045483,0.00494552672745227,0.00406467631928533,0.00786161944022779,0.00930120338467747
64,0.0180731931290876,0.0119117158655315,0.010918199991877,0.00724473874688787,0.0097265455016391,0.0111983704634736
72,0.0345011603069235,0.0274301654956417,0.0263811723475975,0.0209040071179859,0.0231046687753515,0.0249859551026063
80,0.0444201895078436,0.0372931771491181,0.0353638803429329,0.0246544638746895,0.0218904460378283,0.0228715842730587
88,0.0274340615792118,0.0237254710472647,0.0194626676790311,0.00336735411927663,-0.00416062602931376,-0.00408323741166234
96,0.0116129084173323,0.015761581396224,0.0114466080167718,-0.00105322367589439,-0.00615442428660655,-0.00533336503313271
104,0.00214582429215973,0.0134863622452596,0.00970133275286022,0.0883268187292785,0.0416754480645659,0.036482390575016
112,-0.00690097491374277,0.014018880303244,-0.0113354967957503,0.012540464896967,0.00661157552129257,0.00464405011641884
120,0.0031169662049705,0.10512652144023,0.00656244735020835,-0.00274363105921118,-0.00425038066872177,-0.00578149125371129
128,-0.0292724970320614,-0.00681192337260962,-0.01501625565085,-0.0129837702254382,-0.0144832411199398,-0.01586426617454
136,-0.0146651494328994,-0.0235450320832422,-0.0198073424508865,-0.0159763595124424,-0.018006936812098,-0.0193539613655121
144,-0.0150808755846348,-0.0241123872575233,-0.0147276812860085,-0.0069355315380594,-0.00824926579176872,-0.00926760568290236
152,-0.00636378477889504,-0.0208384754005723,-0.012200179719503,-0.00596169990763029,-0.00785800771685004,-0.0087839894935149
160,-0.00481854674270585,-0.0215217932618206,-0.0140555429046359,-0.00895989100308215,-0.0110193092687162,-0.011821073714896
168,-0.00534314136180488,-0.0213407770118782,-0.0152985900707022,-0.0114625414756584,-0.0135178606144229,-0.0141974662708767
176,-0.00315145892012699,-0.0142564359606499,-0.00850239649520858,-0.00574298176568474,-0.00781873038858061,-0.00840272783637478
184,-0.0039036546373822,-0.0143336642015122,-0.0104349302283076,-0.00907416362642032,-0.0110099755917188,-0.0114973492343784
192,-0.00341664748315964,-0.0138770683028254,-0.011389204305146,-0.0114499052507943,-0.0133189529836831,-0.0137405525774011
200,-0.00216320579449877,-0.00707080731960471,-0.00441781506897637,-0.00502933659377711,-0.00675530110601501,-0.00711220511987011
208,-0.00220532577811562,-0.00093883863332311,0.0017133311140672,0.00103176775158287,-0.000450993399317663,-0.000739486322995554
216,-0.00172177555554936,-0.000489902460818726,0.00130177021442775,0.000472335328438225,-0.000801575702623884,-0.00103824302347153
224,-0.00371025849233432,-0.00275352774385467,-0.00187458650189844,-0.00287605215655457,-0.00392893437884055,-0.00411879994386952
232,-0.00159056572859848,0.00727715124236937,0.0108378602096425,0.0108135540767098,0.00992545222495582,0.00977307058055018
240,-0.00297487799307618,0.00862937192360851,0.0120644994919205,0.0128902676176959,0.0123064180420009,0.012205703720168
248,8.77932260503545E-05,0.00791755679048069,0.0118178001563205,0.0133375630658641,0.0127914261351126,0.012700790215773
256,-0.00216956054861208,0.00309423387906179,0.00626674811498087,0.00867270878155179,0.00843522452948698,0.00838837609325297
264,-0.00224821301231533,0.00196940900803774,0.00590300982363229,0.00922805745341586,0.00917937378320843,0.00916096052117494
272,-0.00907149470233685,-0.00505151025966171,-0.00447138987735539,-0.00148625660753923,-0.00079961952751471,-0.000714472090658442
280,-0.00334092701321751,-0.00338580188519391,-0.000204011178560134,0.00382933905349771,0.00430542340356994,0.00436175242987808
288,-0.002718308147612,-0.00394063517663401,-0.0015020912788225,0.00199509497360337,0.00257131217191187,0.00264499147196548
296,-0.00860482456610666,-0.00672053374424555,-0.00596365250576506,-0.00309996720346457,-0.00199364776887692,-0.00182863804059871
304,-0.004398411036306,-0.00531387461764816,-0.00271011136625356,0.00100217148521176,0.00187254382116975,0.00200406978424795
312,-0.00173474207342504,-0.00431687166288221,-0.00138757426273446,0.00185308384173565,0.00257477256794952,0.00268844146987822
320,-0.00728955242149266,-0.007654640764326,-0.00744395930679653,-0.00692321955869997,-0.00655249711379191,-0.00648399536156443
328,0.00355301880694879,0.00987637780611866,0.00400884740661035,-0.00174349326350036,-0.00889721784885061,-0.00885225748821868
336,0.0175831285686261,0.019368830445647,0.00943646024484867,0.00787094734517371,0.00813096086472964,0.00747866751629477
344,0.0255278051108297,0.0234805840412691,0.0128018405458309,0.010698005511918,0.0129772729173988,0.0132771713496781
352,0.0220372691102185,0.0205141501602881,0.0123525170540661,0.0108014673555484,0.0132039163959056,0.0136103167124802
360,0.0179721238603341,0.0191840978248379,0.0148687333275565,0.0181904100565669,0.0215652177762193,0.0221251126677531
366,-0.0300275307905668,-0.0310339574305931,-0.0371191180615288,-0.043229767886386,-0.0444681954971945,-0.0446418427114102
373,-0.014459398324774,-0.0169460887314055,-0.0205522888389815,-0.017227310580735,-0.0115925873895804,-0.0104951853113229
381,-0.0112459265315796,-0.0133582324313512,-0.0166002305912486,-0.0157860156048048,-0.0106523520859001,-0.00948671742898358
389,0.002291854693577,-0.00124195742673579,-0.00383206692734365,-0.00180968096324143,0.00584990637737779,0.00777376923048189
397,0.016077469510869,0.0116326876357156,0.00912752627174467,0.00914039664728399,0.016749992286388,0.0190444871326786
405,0.0213625041648577,0.0166101532217748,0.0135094000044288,0.00789298765127081,0.0114445944363469,0.0132592915728278
413,0.0157045823589897,0.0110628737584736,0.00705157025676248,-0.00414245214723718,-0.00528122491107217,-0.00414368380286367
421,0.0262523552354682,0.0202684075413905,0.0162694705546388,0.0046469415866379,0.00462132853640081,0.00679458310476896
429,0.0367835693195968,0.0298435737181933,0.025692259549099,0.0122670573714011,0.00907704328570808,0.0107738584059017
437,0.0259224704443882,0.0185749069914861,0.0131161684398582,0.0637976064390288,0.0361959094375236,0.0212405838184725
445,0.0276695456400267,0.0142650274388815,0.0572260725691399,0.0242241946842816,0.016525002482197,0.0135016168791996
453,-0.0661490344008792,0.0806621830715803,0.00814745312443987,0.0049115243973301,0.00307977997548541,0.00147547627097172
461,-0.0523936701915139,-0.0203381922841607,-0.0289589197658421,-0.028099836886319,-0.0302057772617335,-0.0316661829564266
469,-0.00733769859402718,0.00503825493170366,0.00596555613144035,0.00563949237400919,0.00178755495537904,5.66270179292606E-05
477,-0.0169880172545682,-0.00501908394831462,0.0018142030538813,0.00724063626768451,0.00574337731191348,0.00473876683038777
