tavg,P,P025,P05,P1,P2,P4
1,-0.00657563788375973,-0.0202976580089355,-0.0137976538703162,-0.00993692349036975,-0.0121571492653767,-0.0130522838240674
2,-0.00651017179225573,-0.0238346367082706,-0.0188403756560516,-0.0164870559847574,-0.0188046372057066,-0.0195728116095663
3,-0.00401592062597173,-0.014044496488918,-0.00926798696402911,-0.00768746482701914,-0.00988441479576318,-0.0105038390157771
4,-0.00465609214629189,-0.0050269647050891,-0.000421386619689979,0.000897982272086702,-0.000910256444993805,-0.00136363818562056
5,-0.00185584141931729,-0.00289520941221551,0.000918314753492923,0.00155469038240794,-4.03742943517322E-05,-0.000398347361082394
6,-0.00349201251383512,-0.00488817314356018,-0.00207011337733308,-0.00162389815240066,-0.00288303398499402,-0.00315333623678438
7,-0.00492736977564012,0.00114904549656991,0.00491212990504097,0.00589656848098268,0.00498565115507606,0.00479452690196587
8,-0.00270782191085304,0.00517643042855878,0.00941639229224773,0.011064204989974,0.0104595072910838,0.0103303320740557
9,-0.0040642068233591,0.00127976894649307,0.00427462393139554,0.00624993069667836,0.00604703561043355,0.00598794559995569
10,-0.00258747509224802,2.27919126665269E-05,0.00319070321651036,0.00530637947038757,0.0051727296895802,0.00513279046969325
11,-0.00683312008656923,0.00313412200854212,0.00685836866195174,0.00909918648035138,0.00952917094583305,0.0095810274427767
12,-0.00617168519214267,0.00279945043557783,0.00226716715473937,0.00319779567925291,0.00166472472966113,0.00177555564341008
13,-0.00645407266489778,-0.00185926325745254,-0.00323110147409638,-0.00197735262481141,-0.00109139700398885,-0.000995271417266472
14,0.0035819664637467,0.00473571781233139,0.00364826298583123,0.00508252734612976,0.00501641464619751,0.00422238393080487
15,-0.00342538739196868,0.00250828121964146,-0.00125143061241525,-0.00582046193086266,-0.00566794276816027,-0.00563760194829866
16,0.0078966463008798,0.0085349933171686,0.00224902539481354,0.000485279348570886,0.000328171925770076,-0.000745233570231574
17,0.0076864284393563,0.00538763137576324,-0.000170454233167088,-0.00234893105676243,-0.00178113542860878,-0.00172231044929609
18,0.0122959892421157,0.00788521617108511,0.00507431297599749,0.00531295979336734,0.00712358021238704,0.00746126719614988
19,0.00808183976934014,0.00396338012063372,3.55245380197857E-05,-0.00354676530823493,-0.00385360950567579,-0.0037898100141824
20,0.0094909495007313,0.00471478821779604,0.00115072801373657,4.39463438239775E-05,0.000767539690580356,0.000788715096436961
21,0.0119460602205101,0.0060396608183891,0.00310291467597562,0.00327140555440586,0.00478231201736521,0.00507550935540869
22,0.0115948669384428,0.00599739420080581,0.0030382313666141,0.00256053821567737,0.00415941023947792,0.00449075177614985
23,0.00772737469721626,0.0024979663254774,0.000702966160977213,0.00197553826655151,0.00501133205626819,0.00568858917197914
24,0.00655819067272622,0.00266716530534942,0.000990450390383916,0.00052367048386643,0.00226088503700066,0.0027169186003567
25,0.00736143389919753,0.00198669403242718,0.00126756515501773,0.00366415237523635,0.00691324985765368,0.00765209192887996
26,0.00982945816407081,0.00468443409626525,0.00431224515998462,0.00728826846520946,0.0109510976645445,0.0117823411568974
27,0.00519093466149427,3.29235728254322E-05,-0.000225991339905269,0.00237504898549743,0.00586657611661455,0.00670595808442194
28,0.00944689478602516,0.00433140241083299,0.00436198175274751,0.00760242602768966,0.011723102951252,0.0127360706233423
29,0.00972541569317132,0.00480378072553866,0.00484851305548232,0.00770087119722953,0.0118451460667461,0.0129543261487157
30,0.00651988903583181,0.00198751921581242,0.00160531201437346,0.0023440123729379,0.00542117092242608,0.00645926065286163
31,0.0159472838978956,0.0110203555545068,0.0107278712618936,0.0115603536443761,0.0153056864730745,0.0166524037452204
32,0.0223734224432055,0.0167983076192393,0.0158247024445776,0.0135071635211622,0.0148757160985176,0.015872824105076
33,0.0532973310321831,0.0452018546674054,0.0429617373254669,0.0362300707452366,0.0336789683186642,0.0297855946814214
34,0.0404115994758955,0.034472656053582,0.0327133899421071,0.0283183380507987,0.0272794303557875,0.0272165614564011
35,0.0256505669570012,0.027391798648667,0.0264092473195437,0.0226186354281819,0.0212132952988816,0.0212928291218583
36,0.010216038706077,0.0163740887703545,0.0156496722718377,0.0115902258418971,0.00966828583918581,0.0096194352001777
37,0.000956434335539739,0.00929634016067913,0.00818232992973258,0.00302988496326116,0.000976033613897364,0.0010712840434657
38,0.00360323008105719,0.0115230568460592,0.0104411260471858,0.00538012409052776,0.00382721638108691,0.00441169109333327
39,-0.00263695464108529,0.0101781063560631,0.00832465754723126,0.00204913444043892,0.016289506511742,0.0167982335997241
40,0.0103984759529093,0.0207217437167211,0.0390972068975903,0.011798502732003,0.00626259943588986,0.00584688747917072
41,0.0359941037659908,0.031451269763079,0.010712451653208,-0.00351375135739375,-0.00989857780526431,-0.0138627237048475
42,-0.0404619289230705,-0.00497703801431594,-0.00478901043488983,-0.0013202698951096,-0.00430630138873692,-0.00563659765536273
43,-0.0112889151989506,0.0259568432927765,-0.00563261692105344,-0.0063874479561132,0.00769702943714622,-0.00033035364803578
44,-0.0155071311881175,-0.0223178207391132,-0.0201600887399805,-0.015304780938031,-0.0183474161505922,-0.019819895158638
45,-0.0108787562311926,-0.0129984063651634,-0.0246977587728809,-0.0224354135883763,-0.0247629267145917,-0.0261162261836886
46,-0.0110649221726283,-0.0183079906014543,-0.0129886375315935,-0.00794131945579489,-0.00997554645102609,-0.0110336945126683
