tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline
1,6.36259177274137,16.1988632652738,16.1988632652738,60.087105509699,9.61412289810377,9.61412289810377,69.8063179202256,69.8063179202256,51.3386607227572,51.3386607227572,17.4960052269312,15.7491265227626,20.3126600821314
8,6.64446649940602,17.3428837951707,17.3428837951707,57.4179184624903,9.60577620609533,9.60577620609533,67.9905433194681,67.9905433194681,48.0801527806723,48.0801527806723,17.4960052269313,13.5228959210656,20.8252668946751
16,6.94343859789372,17.6025879885271,17.6025879885271,54.262209759118,9.97060309821919,9.97060309821919,65.5756670618541,65.5756670618541,44.6496484699231,44.6496484699231,17.4960052269311,11.3295248116035,20.8895121205118
24,7.2525924805013,17.7682734790042,17.7682734790042,52.2409279047949,10.3252976638081,10.3252976638081,63.1329558913052,63.1329558913052,41.5586600032587,41.5586600032587,17.4960052269313,9.69172247300812,18.9530053745126
32,8.19639081288449,17.9993185720119,17.9993185720119,51.147338588987,11.8120574446424,11.8120574446424,61.8113575046165,61.8113575046165,40.643744162236,40.643744162236,17.4960052269315,8.46323677642857,18.7135146687098
40,9.2545718891302,18.1474700066872,18.1474700066872,50.5566046472894,13.1938305886488,13.1938305886488,61.0974578596358,61.0974578596358,40.3074030238102,40.3074030238102,17.4960052269316,7.52808120586235,17.8560456337336
48,10.6414158458631,17.8607832900586,17.8607832900586,49.2882706164741,15.4663133023408,15.4663133023408,59.564681172192,59.564681172192,41.6551083857052,41.6551083857052,17.4960052269315,6.85282096554759,16.9967991934534
56,12.1783218523971,17.5406530016747,17.5406530016747,47.376721176195,17.7068477714906,17.7068477714906,58.9751921148278,58.9751921148278,43.8754491299302,43.8754491299302,17.4960052269315,6.40962184338793,16.3088830678032
64,13.9605564748632,17.4242530579765,17.4242530579765,45.8131844887453,19.8140333624818,19.8140333624818,60.1073096663299,60.1073096663299,46.6910348902299,46.6910348902299,17.4960052269313,6.06889274374575,17.4295264767225
72,16.7925746594746,17.8474856992596,17.8474856992596,46.8168276142267,22.3152549584564,22.3152549584564,61.1706139783181,61.1706139783181,51.0904549114286,51.0904549114286,17.4960052269314,5.79868217023476,18.8845484307514
80,19.1104135147952,17.7507744282644,17.7507744282644,47.1312630116147,23.8247538315822,23.8247538315822,59.0854282493156,59.0854282493156,55.7104557145495,55.7104557145495,17.4960052269316,5.63672415105179,20.1669187816499
88,21.7686591473357,17.4431980549613,17.4431980549613,48.1805728471822,26.1085083061224,26.1085083061224,56.4278547347218,56.4278547347218,62.6740588011463,62.6740588011463,17.4960052269313,5.6282101130165,20.3542338176644
96,24.0514545681286,17.3421539120241,17.3421539120241,49.7820916700837,26.2646273518628,26.2646273518628,54.8954590999678,54.8954590999678,69.511473173671,69.511473173671,17.4960052269315,6.21669234665549,14.5151687598219
104,24.8877002998034,16.7518619759874,16.7518619759874,50.6497876059165,25.305743203701,25.305743203701,52.9825518341257,52.9825518341257,75.5084076700691,75.5084076700691,17.4960052269315,7.7348186563689,2.70914213391156
112,27.0846151613106,16.585697020702,16.585697020702,54.8834632552639,26.2756232804339,26.2756232804339,53.8632753899675,53.8632753899675,84.7051853957361,84.7051853957361,17.4960052269315,11.0917772815545,0
120,28.8825209887478,17.3000384948565,17.3000384948565,62.4200642552987,24.70002198578,24.70002198578,57.2778098000183,57.2778098000183,92.7628114256259,92.7628114256259,17.4960052269313,19.1630449940321,0
128,34.1722383785169,19.374302541013,19.374302541013,83.5732316239199,25.7095515187672,25.7095515187672,66.7382369940114,66.7382369940114,103.579209776607,103.579209776607,17.4960052269313,38.4100468504503,0
136,42.273017958086,27.8157337137738,27.8157337137738,148.823409563039,24.8966635424424,24.8966635424424,98.6514983847972,98.6514983847972,115.699648393406,115.699648393406,17.4960052269311,104.293698185307,0
144,29.2884601780993,28.963194334265,28.963194334265,251.004855876719,24.2053931662218,24.2053931662218,146.94507564672,146.94507564672,122.819482679466,122.819482679466,17.4960052269312,196.068864626052,17.4960052269314
152,23.3761704037076,25.1363089589636,25.1363089589636,306.339713655384,21.8475468887818,21.8475468887818,176.971754639023,176.971754639023,118.282829014134,118.282829014134,17.4960052269312,231.72156907041,17.4960052269314
160,24.6081675807742,22.9698536913153,22.9698536913153,356.909803267045,22.6203930671107,22.6203930671107,195.444074870809,195.444074870809,122.520797247552,122.520797247552,17.4960052269314,259.90838875334,17.4960052269314
168,19.4694677174144,21.6138009749953,21.6138009749953,372.049673715577,19.8670143990369,19.8670143990369,206.94038092506,206.94038092506,117.941870590271,117.941870590271,17.4960052269316,283.191722004189,17.4960052269314
176,19.0199326471426,20.6666540581302,20.6666540581302,359.318709843445,18.3303684133892,18.3303684133892,214.21518670418,214.21518670418,118.376131525061,118.376131525061,17.4960052269315,290.896631624787,17.4960052269314
184,20.6117506386369,20.0048132601507,20.0048132601507,375.141536694108,19.6210292306434,19.6210292306434,219.030943073909,219.030943073909,118.568785360114,118.568785360114,17.4960052269312,302.009567297814,17.4960052269314
192,18.6996752445247,19.5329974079141,19.5329974079141,382.235547644599,18.7918900773375,18.7918900773375,222.507421147552,222.507421147552,118.580905739586,118.580905739586,17.4960052269315,313.653318504595,17.4960052269314
200,18.7772499120562,19.1878826983503,19.1878826983503,382.632361248077,18.4992032163018,18.4992032163018,225.272304996917,225.272304996917,118.799680042947,118.799680042947,17.4960052269314,319.766108751793,17.4960052269314
208,19.0083819297125,18.9309369599373,18.9309369599373,395.180512369149,18.9316749164854,18.9316749164854,227.669697846885,227.669697846885,118.756234708268,118.756234708268,17.4960052269311,327.044938898917,17.4960052269314
216,18.4855463299176,18.7383092179983,18.7383092179983,405.948182258883,18.7835123420796,18.7835123420796,229.891722791196,229.891722791196,118.603683155346,118.603683155346,17.4960052269314,333.849615181538,17.4960052269314
224,16.7644497478424,18.5926057084617,18.5926057084617,585.046249639298,17.2276993214924,17.2276993214924,344.641045396363,344.641045396363,118.532406699904,118.532406699904,17.4960052269314,335.22739288873,17.4960052269314
232,16.1639931868244,18.1408468980824,18.1408468980824,702.728583015559,16.3597962460696,16.3597962460696,435.870948404864,435.870948404864,118.642726800606,118.642726800606,17.4960052269315,330.05524238176,17.4960052269314
240,15.2810478994911,17.5697312586451,17.5697312586451,747.072211025482,15.7243331208374,15.7243331208374,485.05379400438,485.05379400438,116.026224582127,116.026224582127,17.4960052269315,321.764088429419,17.4960052269314
248,14.119867316479,17.1243369970067,17.1243369970067,743.368944473536,14.7812337493587,14.7812337493587,510.30992577599,510.30992577599,115.82910934439,115.82910934439,17.4960052269312,309.388521876733,17.4960052269314
256,15.8865554144581,16.78914379338,16.78914379338,744.523932411924,16.0567929761458,16.0567929761458,522.203796385934,522.203796385934,119.375475321088,119.375475321088,17.4960052269313,297.897416872381,17.4960052269314
264,13.5152628595729,16.5261765520117,16.5261765520117,683.963096175179,14.9607168695224,14.9607168695224,524.964117818532,524.964117818532,115.456542579645,115.456542579645,17.4960052269315,287.407404351675,17.4960052269314
272,11.5002568344803,16.3170337501696,16.3170337501696,632.36843487061,12.8802575042265,12.8802575042265,521.70996540171,521.70996540171,111.469277338903,111.469277338903,17.4960052269316,268.984797894488,17.4960052269314
280,13.0605106767978,16.1494467362271,16.1494467362271,569.862674036551,13.2494612389821,13.2494612389821,499.599736231972,499.599736231972,107.350473144491,107.350473144491,17.4960052269315,250.039585035528,17.4960052269314
288,11.970116891416,16.0136903447731,16.0136903447731,493.998836623882,13.0084903364769,13.0084903364769,457.250915553344,457.250915553344,102.533969159191,102.533969159191,17.4960052269315,234.357691387305,17.4960052269314
296,10.3822253975392,15.2019352098514,15.2019352098514,416.094299898313,11.9487033985116,11.9487033985116,400.879807981714,400.879807981714,95.5581455107166,95.5581455107166,17.4960052269314,216.058112335456,17.4960052269314
304,9.33379082362509,14.4985604179722,14.4985604179722,351.511906089118,11.1009512399998,11.1009512399998,345.541092086424,345.541092086424,88.6585515394939,88.6585515394939,17.4960052269314,196.476894971885,17.4960052269314
312,8.90764008636419,14.0154968193182,14.0154968193182,293.209622237241,10.7191419841677,10.7191419841677,293.975599726565,293.975599726565,82.2571296153877,82.2571296153877,17.4960052269312,177.423159259975,17.4960052269314
320,7.76806319993133,15.0522993484679,15.0522993484679,237.789211814853,9.990277828709,9.990277828709,248.50667367302,248.50667367302,76.3179101741652,76.3179101741652,17.4960052269311,159.391473185637,17.4960052269314
328,6.63412527511218,15.4314915005523,15.4314915005523,192.296007271313,9.39171715946175,9.39171715946175,205.087674500242,205.087674500242,70.8075207654995,70.8075207654995,17.4960052269312,134.637529247603,28.2083629664768
