tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline,P13_ConstHighN,P14_MLDOnlyNUnlim
1,3.60018534153257,18.0801309262153,18.0801309262153,97.0285786262771,1.22275915629553,1.22275915629553,166.628538448163,166.628538448163,4.53302273364499,4.53302273364499,21.3769644001877,18.5419925788254,24.4644550406701,3.76159391342076,194.585611597346
8,3.44256073815399,20.8469743667601,20.8469743667601,92.4759355160242,0.909310180816306,0.909310180816306,166.772454458578,166.772454458578,3.32905910897382,3.32905910897382,21.3769644001877,15.3246971714275,24.9732646026184,3.62709218259189,187.249928152097
16,3.41164658677434,21.6938013277993,21.6938013277993,87.2008440900211,0.727661739952942,0.727661739952942,161.28270757967,161.28270757967,2.62531027996192,2.62531027996192,21.3769644001877,12.2737965985234,24.9757250610039,3.63521552336659,176.568657559883
24,3.74135807639709,21.8832500608181,21.8832500608181,83.9351602896955,0.701521434463675,0.701521434463675,155.242647636307,155.242647636307,2.48741134268724,2.48741134268724,21.3769644001877,10.0415203858108,22.8146680682457,4.04149624149291,169.956136653052
32,4.16646682688233,22.0584494383175,22.0584494383175,82.179634302442,0.688985234445947,0.688985234445947,151.995706767725,151.995706767725,2.39999062696859,2.39999062696859,21.3769644001877,8.36944430236806,22.6728668164677,4.55873296086607,166.401459285929
40,4.96696250264079,21.9951741885175,21.9951741885175,80.8785392929846,0.77795770939296,0.77795770939296,149.589260727741,149.589260727741,2.65429913880218,2.65429913880218,21.3769644001877,7.02380933926276,22.205157987016,5.51034871930692,163.766936632219
48,5.97740810968894,21.8494179978541,21.8494179978541,80.1733283930263,0.909670318695538,0.909670318695538,148.284934782885,148.284934782885,3.02733025606533,3.02733025606533,21.3769644001877,5.96011710223601,21.7503442228981,6.71224996584645,162.338990111728
56,7.64615454616378,21.7665656286534,21.7665656286534,80.1273060653404,1.20861566112791,1.20861566112791,147.87050824118,147.87050824118,3.89523415978587,3.89523415978587,21.3769644001877,5.11440841447975,21.4134670338841,8.68584294180697,161.885285314579
64,8.2013023610325,17.0852597792886,17.0852597792886,62.6353003209608,2.05579052012646,2.05579052012646,111.609978153662,111.609978153662,6.27741799732935,6.27741799732935,21.3769644001877,4.50871155619175,19.2234265455592,9.4320060155204,122.089976689554
72,9.23296688358074,15.020501891645,15.020501891645,53.0210021466693,3.77883117290767,3.77883117290767,90.0375567165967,90.0375567165967,10.5684329220813,10.5684329220813,21.3769644001877,4.1490877154658,15.8756299037601,10.7322816083407,98.6333307096921
80,11.8793023902999,14.3355445820675,14.3355445820675,50.8920930758597,8.12163056326434,8.12163056326434,77.3254234085247,77.3254234085247,19.6131667185835,19.6131667185835,21.3769644001877,4.04944190642469,10.1383585493345,13.9280314979048,85.0157803700187
88,16.6121361631839,14.8041018979302,14.8041018979302,52.9053111300128,16.8092564208031,16.8092564208031,71.0789361117193,71.0789361117193,33.1841415978724,33.1841415978724,21.3769644001877,4.26142019692853,3.16027962982484,19.4691124167909,78.3831137073595
96,24.1296672498485,16.3106433976811,16.3106433976811,58.2268421221542,29.3931718335352,29.3931718335352,69.9888087112181,69.9888087112181,47.8287908815537,47.8287908815537,21.3769644001877,4.91956437134449,0,27.8479153427889,77.2987933397783
104,40.3708143710739,18.8462612744164,18.8462612744164,75.1509212536782,48.8169741176652,48.8169741176652,73.6445365932311,73.6445365932311,68.2332676570848,68.2332676570848,21.3769644001877,6.95383957314194,0,44.6760923957485,81.2638453540942
112,58.294948961666,21.7586118259739,21.7586118259739,99.8990839564725,65.1748813864214,65.1748813864214,81.5343906966483,81.5343906966483,87.8958637749343,87.8958637749343,21.3769644001877,15.7585382327236,0,58.185022092396,89.6275030024349
120,54.0305359656643,24.0887785030684,24.0887785030684,131.772659588846,62.8891771933057,62.8891771933057,93.3224579674728,93.3224579674728,104.867043500911,104.867043500911,21.3769644001877,47.8470194498693,0,47.8456807603795,101.953539237794
128,40.2404486148387,29.6361230916646,29.6361230916646,178.569199924977,43.9991155236347,43.9991155236347,109.59445359512,109.59445359512,123.353297036256,123.353297036256,21.3769644001877,108.000283418858,0,37.9545380617707,118.855051220827
136,48.9177676129454,45.296018399856,45.296018399856,239.961368175128,33.6053908282989,33.6053908282989,129.56003745724,129.56003745724,143.196952630899,143.196952630899,21.3769644001877,194.843580405892,21.3769644001878,47.3657087273887,139.696423826651
144,32.8686308490607,33.839128779872,33.839128779872,258.952229782969,27.9281605309551,27.9281605309551,140.512025589705,140.512025589705,154.983207370331,154.983207370331,21.3769644001877,286.058331833647,21.3769644001878,32.7268282540084,151.177302883477
152,29.2612476885562,29.1991478605168,29.1991478605168,272.500361380589,25.9220421383327,25.9220421383327,143.997772268548,143.997772268548,162.328029138562,162.328029138562,21.3769644001877,340.381904128707,21.3769644001878,29.2946193522497,155.095568978774
160,27.7145074876765,26.9656997285625,26.9656997285625,310.192919098757,26.8105417693057,26.8105417693057,172.269461120064,172.269461120064,176.040933564071,176.040933564071,21.3769644001877,385.547342463044,21.3769644001878,27.7997155031884,214.882928013906
168,24.4660488349308,25.4892401661845,25.4892401661845,276.653299727198,23.1559289571999,23.1559289571999,189.47529869923,189.47529869923,176.12247472421,176.12247472421,21.3769644001877,418.223652510206,21.3769644001878,24.5489620125182,182.219237710367
176,24.6535072118341,24.2090757093926,24.2090757093926,311.828967306544,24.0034399876919,24.0034399876919,221.150031239146,221.150031239146,179.670539190199,179.670539190199,21.3769644001877,440.790618403982,21.3769644001878,24.7593488452485,264.521319011236
184,23.4440151496567,23.4034444453706,23.4034444453706,314.047607643525,23.8844102700326,23.8844102700326,236.771695817534,236.771695817534,186.239715207348,186.239715207348,21.3769644001877,460.359684290651,21.3769644001878,23.5402540606071,206.575735905958
192,22.3394923891121,22.8895482194913,22.8895482194913,291.255556737613,21.9519293439073,21.9519293439073,204.547571814195,204.547571814195,183.186480863389,183.186480863389,21.3769644001877,471.756383936124,21.3769644001878,22.4262678389688,214.722758030361
200,22.1243627969696,22.4482233354481,22.4482233354481,628.24280325789,22.1544412826026,22.1544412826026,424.332286435311,424.332286435311,182.557879247505,182.557879247505,21.3769644001877,478.203630815375,21.3769644001878,22.2063896485835,502.414966229626
208,20.4590042384312,22.050031295901,22.050031295901,1167.25458802113,19.4192342830642,19.4192342830642,1003.81981068186,1003.81981068186,171.657133051715,171.657133051715,21.3769644001877,478.773820563779,21.3769644001878,20.511698794019,1212.56957624465
216,21.1059984837419,21.7769886877055,21.7769886877055,1264.68914334211,20.4730661506589,20.4730661506589,983.897732821634,983.897732821634,167.521741134948,167.521741134948,21.3769644001877,474.77527070427,21.3769644001878,21.163993660892,1697.74186240634
224,20.4481575563702,21.5924252732604,21.5924252732604,1318.17930414152,20.6350668506389,20.6350668506389,926.883047420322,926.883047420322,166.73231465866,166.73231465866,21.3769644001877,470.842749833416,21.3769644001878,20.4880592329531,1975.91293104904
232,18.3930250066721,21.308602344969,21.308602344969,1217.8422356835,16.9600361107803,16.9600361107803,848.222097348953,848.222097348953,148.564731260001,148.564731260001,21.3769644001877,459.445340965449,21.3769644001878,18.3980894863084,2068.05706348061
240,19.4481073170173,20.98401583296,20.98401583296,1102.067673472,17.2987622843486,17.2987622843486,767.58559197798,767.58559197798,137.65496981624,137.65496981624,21.3769644001877,443.407533115279,21.3769644001878,19.4700589645078,2022.95168963372
248,18.1887083753014,20.7186561474245,20.7186561474245,971.457910010417,16.7814795653487,16.7814795653487,676.616430085298,676.616430085298,128.353667516167,128.353667516167,21.3769644001877,428.320102651228,21.3769644001878,18.1795716343096,1924.46625908464
256,18.1716286597775,20.4986439980628,20.4986439980628,814.24907639621,16.2722554924942,16.2722554924942,594.623796031257,594.623796031257,118.098778664383,118.098778664383,21.3769644001877,409.298421717156,21.3769644001878,18.1671495429616,1732.24081228521
264,15.8535154212129,19.5735607267213,19.5735607267213,674.39935435343,14.6209597533723,14.6209597533723,556.819087905115,556.819087905115,104.178842928504,104.178842928504,21.3769644001877,386.88276917612,21.3769644001878,15.8130130548965,1418.70912932042
272,15.8470942816278,18.4025510712579,18.4025510712579,598.258886968191,14.294165316726,14.294165316726,531.164900824334,531.164900824334,93.9740092914474,93.9740092914474,21.3769644001877,359.104344830037,21.3769644001878,15.8308792191694,1162.99198342429
280,14.3052967574247,17.3657838360226,17.3657838360226,534.722310430434,14.0962376380331,14.0962376380331,502.380053470883,502.380053470883,85.9596693608003,85.9596693608003,21.3769644001877,331.306651054105,21.3769644001878,14.2611346851149,981.98175285346
288,11.8942420980025,16.5223973123562,16.5223973123562,466.960725920082,12.3084415115598,12.3084415115598,469.673882737501,469.673882737501,72.9229568957659,72.9229568957659,21.3769644001877,299.579919456708,21.3769644001878,11.8382277110284,850.223477586455
296,10.3446817784502,15.8841673849766,15.8841673849766,411.910341631534,10.2281389323133,10.2281389323133,435.806462380568,435.806462380568,58.6511812843537,58.6511812843537,21.3769644001877,265.675746396467,21.3769644001878,10.3082100072246,749.989932077768
304,9.32464365526143,15.7402820195208,15.7402820195208,368.95728726844,8.70245475827715,8.70245475827715,403.213111283469,403.213111283469,47.146802475258,47.146802475258,21.3769644001877,227.233748152887,27.4427511581683,9.30562011560356,671.782722720721
312,8.76630744269001,16.6732239123482,16.6732239123482,337.21728985727,7.36481098442831,7.36481098442831,373.986519141702,373.986519141702,37.5335573376833,37.5335573376833,21.3769644001877,181.003945649408,26.1461320382166,8.77194861955405,613.991800530558
320,9.05020986235637,17.3718010863531,17.3718010863531,314.937617138179,6.41104480425674,6.41104480425674,349.310578293196,349.310578293196,30.4768699552143,30.4768699552143,21.3769644001877,147.176138801001,25.047211201124,9.08413061743404,573.425860469133
328,9.07526260138234,18.1740527592423,18.1740527592423,298.922098706914,5.44989436409341,5.44989436409341,331.547092128138,331.547092128138,24.3433708509407,24.3433708509407,21.3769644001877,121.901932469518,24.2559391247115,9.10634157185455,544.265442857673
336,8.06070886884956,18.7305176528608,18.7305176528608,279.88731086596,4.08671154271749,4.08671154271749,310.434807070444,310.434807070444,17.5882514515597,17.5882514515597,21.3769644001877,99.311587506637,26.1896596465701,8.07482304353344,509.607659847402
344,7.18786488031162,19.3534948185446,19.3534948185446,245.359006073504,2.94353459750526,2.94353459750526,275.738700726854,275.738700726854,12.3032772247936,12.3032772247936,21.3769644001877,75.1457602578999,30.7259671160093,7.23511507599634,446.739898714037
352,6.12999788197616,19.1983364458179,19.1983364458179,187.317540810844,2.15854016019646,2.15854016019646,232.46724018079,232.46724018079,8.77100596437794,8.77100596437794,21.3769644001877,49.1623072543421,37.9647163714029,6.22603912303355,355.653087194034
360,5.26526148242353,19.4606340803836,19.4606340803836,142.295605174378,1.60936575677824,1.60936575677824,199.752854946375,199.752854946375,6.37802241758389,6.37802241758389,21.3769644001877,31.8351790438057,33.4788594017094,5.40653932206509,275.867172808392
366,4.58233177516876,18.6232171739593,18.6232171739593,126.739062263957,1.20627465905908,1.20627465905908,185.725750078829,185.725750078829,4.72210789091207,4.72210789091207,21.3769644001877,25.1456955732346,27.7359807693764,4.71776122889327,245.707847043472
373,4.29920262399548,18.9653938600397,18.9653938600397,121.189835318084,0.905093662291183,0.905093662291183,184.360613312132,184.360613312132,3.49691642350756,3.49691642350756,21.3769644001877,20.8986411823848,21.8663767075426,4.45011333184738,234.9496121215
381,4.74309390902775,20.1858584748601,20.1858584748601,119.327820937695,0.790718788848229,0.790718788848229,188.865076710901,188.865076710901,2.99841076069255,2.99841076069255,21.3769644001877,17.5472104472791,22.775589272259,4.97183186409936,231.339742075149
389,5.07930660041797,20.5620616711843,20.5620616711843,115.49784803868,0.685282864414913,0.685282864414913,184.363132550579,184.363132550579,2.55490649324032,2.55490649324032,21.3769644001877,14.5031172498168,23.9321729262152,5.38356889195401,223.914609062157
397,5.93292531663316,20.5306049827814,20.5306049827814,111.229638335503,0.709825496859875,0.709825496859875,177.550014171118,177.550014171118,2.59578119257939,2.59578119257939,21.3769644001877,11.9442936206332,23.5997547433404,6.37304420033457,215.639870412808
405,7.79118102791402,20.5408935359277,20.5408935359277,108.3918092031,0.92700341043937,0.92700341043937,173.020136971,173.020136971,3.29650549208818,3.29650549208818,21.3769644001877,10.0169991992678,22.5826990002586,8.48835423817726,210.138197337873
413,9.91614974322055,20.6089546756442,20.6089546756442,107.307932421487,1.19672207266605,1.19672207266605,171.290001542936,171.290001542936,4.10937491761242,4.10937491761242,21.3769644001877,8.63954380767372,21.603011993847,10.8999126851915,208.036895452621
421,9.30254880397937,16.9258622819583,16.9258622819583,82.4263549760961,1.42273472560458,1.42273472560458,134.325871669285,134.325871669285,4.70233728192199,4.70233728192199,21.3769644001877,7.61270897840362,20.8608537419446,10.2801591300612,159.799211537777
429,9.74194319857661,14.8899584742302,14.8899584742302,63.6998464869501,2.26430746341275,2.26430746341275,104.034503076757,104.034503076757,7.05520482142718,7.05520482142718,21.3769644001877,6.78336797868311,19.4867696869864,10.8843943375769,122.104499787185
437,11.0213928046213,14.1552221716272,14.1552221716272,54.2476009912115,4.04613044008097,4.04613044008097,86.3924670757631,86.3924670757631,11.4582102963521,11.4582102963521,21.3769644001877,6.23983566098191,17.4720081498302,12.4285107300886,100.276414068533
445,12.8131328806587,14.2303171808938,14.2303171808938,49.1660116032413,7.15629323776293,7.15629323776293,76.2067753240605,76.2067753240605,17.7635621559436,17.7635621559436,21.3769644001877,5.97547463010141,14.6915168315702,14.5340895061635,87.616287179115
453,17.9169835763066,15.0339495560382,15.0339495560382,52.5208994238643,14.9653034084749,14.9653034084749,71.1678135562371,71.1678135562371,30.671313008891,30.671313008891,21.3769644001877,6.03042135875703,13.0315052233425,20.3430657003757,81.1262409550136
461,29.6930495392655,16.4195207859452,16.4195207859452,65.9638148337182,33.4380691204717,33.4380691204717,69.8900567612843,69.8900567612843,54.3386495733441,54.3386495733441,21.3769644001877,6.89396674077181,10.0802201667133,33.1412002071718,79.025267957128
469,44.6476077359389,18.1523583493386,18.1523583493386,83.564834936131,57.2417841994916,57.2417841994916,71.5769370281807,71.5769370281807,79.6821787837716,79.6821787837716,21.3769644001877,10.6648624193964,3.25735438810626,47.1763467207075,80.282569886649
477,53.1136710925544,20.3046463182066,20.3046463182066,105.361016906061,70.6189935987934,70.6189935987934,76.6166104381124,76.6166104381124,100.919323858544,100.919323858544,21.3769644001877,23.5628144852001,0,50.707745511579,85.2134024618817
485,41.3469279141699,22.7412994850797,22.7412994850797,126.243843570776,52.1365256686944,52.1365256686944,85.9759066812994,85.9759066812994,112.590375413325,112.590375413325,21.3769644001877,54.8894293751827,0,37.4472451175307,94.7463106828457
493,37.8307663175171,25.1337590632135,25.1337590632135,166.009349603156,36.6706711451445,36.6706711451445,100.677846378013,100.677846378013,127.361679241727,127.361679241727,21.3769644001877,98.1688227281273,0,36.1301923720281,109.862507065403
501,46.3178980490553,44.9161710956066,44.9161710956066,208.777234957194,29.3889066738346,29.3889066738346,120.627020304551,120.627020304551,139.756303760378,139.756303760378,21.3769644001877,156.66214478694,21.3769644001878,45.3168475096582,130.459433006146
509,35.2248932702095,35.0422844516621,35.0422844516621,237.676857509864,27.2211183882936,27.2211183882936,132.2731859211,132.2731859211,149.823920994535,149.823920994535,21.3769644001877,236.340800935143,21.3769644001878,34.599698677215,142.29859441103
