tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline
1,5.54720905907714,16.3225024567175,16.3225024567175,40.4127778748102,9.14362268048051,9.14362268048051,45.8513444423282,45.8513444423282,32.5920972731912,32.5920972731912,19.3850636350528,9.92900670161491,22.3539312773645
8,5.62018698886275,17.3622551485903,17.3622551485903,38.6175630391122,9.032305321745,9.032305321745,45.0498297784885,45.0498297784885,30.5234494682277,30.5234494682277,19.3850636350524,8.41030125035182,22.8962166289432
16,5.68676605651561,17.7620845662121,17.7620845662121,36.4951283871983,9.20033788540812,9.20033788540812,43.4781357710504,43.4781357710504,28.3195619104863,28.3195619104863,19.3850636350527,6.92677320830181,22.9642177719232
24,5.77265326709656,18.0903751637483,18.0903751637483,35.1356750750736,9.38263127072615,9.38263127072615,42.4268925688098,42.4268925688098,26.2748018580495,26.2748018580495,19.3850636350523,5.81565219458631,20.9182905865415
32,6.33132407992205,18.5157551168003,18.5157551168003,34.400159830478,10.4707669197519,10.4707669197519,42.0215625133034,42.0215625133034,25.3898449506928,25.3898449506928,19.3850636350525,4.97259610613009,20.6658709775175
40,6.9922076694577,18.8921151098944,18.8921151098944,34.0028499689623,11.6024065793234,11.6024065793234,41.8803660891907,41.8803660891907,24.9457436990236,24.9457436990236,19.3850636350531,4.30901889975402,19.7633751073146
48,7.90553425554062,18.8258748763264,18.8258748763264,33.1498066908146,13.5170746953474,13.5170746953474,41.0157976733925,41.0157976733925,25.7473336965804,25.7473336965804,19.3850636350524,3.80053119135054,18.8612048250102
56,8.96783505267021,18.6206768128429,18.6206768128429,31.8641560962083,15.6744815956987,15.6744815956987,39.8959475518373,39.8959475518373,27.1750740698778,27.1750740698778,19.3850636350528,3.41469725024347,18.1407276303762
64,10.2613231397783,18.5707314063318,18.5707314063318,30.6064800652849,17.9478332182693,17.9478332182693,39.0735862526939,39.0735862526939,29.0342655686087,29.0342655686087,19.3850636350524,3.07701592481225,19.3152552056406
72,12.4287371877503,19.0982953047692,19.0982953047692,30.6599761022372,20.8960907818616,20.8960907818616,39.531787646299,39.531787646299,32.0399906390849,32.0399906390849,19.3850636350527,2.75554671567422,20.8461230776471
80,14.3655518756392,19.0814798973041,19.0814798973041,30.3744115131824,23.4871715359447,23.4871715359447,39.0105111224638,39.0105111224638,35.1800868553172,35.1800868553172,19.3850636350523,2.46316631155002,22.1998491159608
88,16.7144947945115,18.7688328832666,18.7688328832666,30.7624895354542,27.0833050523226,27.0833050523226,37.8918868573954,37.8918868573954,40.0476777219219,40.0476777219219,19.3850636350525,2.22654615987976,22.3978923619397
96,19.0610289146217,18.6750990484024,18.6750990484024,31.6836294504798,29.4499970182326,29.4499970182326,37.2905485149722,37.2905485149722,44.75765477923,44.75765477923,19.3850636350531,2.18827344166843,16.2712691686354
104,20.6713145184335,18.1868535827126,18.1868535827126,32.0360340776374,30.2931124933824,30.2931124933824,36.1997484352496,36.1997484352496,48.7998135821575,48.7998135821575,19.3850636350524,2.4216997769118,5.30673606194889
112,24.0298552743139,18.1382923617463,18.1382923617463,34.6855954851916,32.2125726970738,32.2125726970738,35.947274392012,35.947274392012,55.2431662703757,55.2431662703757,19.3850636350528,3.12266523991339,0
120,28.9855560746805,19.1770316138863,19.1770316138863,39.9008180351531,31.4799039095677,31.4799039095677,37.7901466652944,37.7901466652944,60.7332981510052,60.7332981510052,19.3850636350524,4.96452142721257,0
128,40.9175559428464,22.1562003949248,22.1562003949248,55.2790706314704,31.896264379809,31.896264379809,44.1459359014656,44.1459359014656,68.3307922736083,68.3307922736083,19.3850636350527,9.93565882540857,0
136,66.1921887578756,31.6099191892213,31.6099191892213,103.800490131837,30.8646372487914,30.8646372487914,67.1814846478919,67.1814846478919,76.5573262448837,76.5573262448837,19.3850636350523,33.5547512657269,0
144,41.964418442353,27.8684100506579,27.8684100506579,179.860385713982,29.2703910280975,29.2703910280975,102.526908491099,102.526908491099,84.3049304627998,84.3049304627998,19.3850636350525,113.043127020829,16.4633702470654
152,30.3069832220442,27.3985506593391,27.3985506593391,219.601036434367,26.1996960321327,26.1996960321327,124.242361386704,124.242361386704,89.619998154373,89.619998154373,19.3850636350531,157.220728820274,19.3850636350526
