tc,P,P_LightMax,P2_LightMin,P3_noZoo,P4_maxMLD,P5_minMLD,P6_LightMaxNZ,P7_LightMinNZ,P8_MaxMLDNZ,P9_MinMLDNZ,P10_ZOnly,P11_Zdyn,P12_Nullcline
1,5.99442362422537,15.4716242024209,7.92855507775051,70.249475410209,6.27250117007471,11.1449477403964,85.2758398461371,20.1993797792863,74.610059866564,74.610059866564,15.6899507786503,18.2110260190144,17.9662646079435
8,6.41290366917043,16.1618006188276,8.16356686861274,67.1165220724882,6.16984853881616,12.4278800249847,84.435134983199,19.4726514185862,76.9613244123819,76.9613244123819,15.6899507786503,15.6671369755367,18.8686303750661
16,6.70679057517428,15.871800282723,8.20763457736549,62.8773012816757,6.09906620682266,13.3336992911195,79.1020341513465,18.3351402480129,78.9898621206457,78.9898621206457,15.6899507786503,13.0556358857207,19.321431481341
24,7.46858677489057,15.7388209540375,8.22265459648124,59.4723021320922,6.32380332375526,16.8165225161184,74.8184158419494,17.3450772971304,92.6416150851199,92.6416150851199,15.6899507786503,11.021373725018,18.1530896650843
32,8.35755711962529,15.75998521371,8.31128250308347,57.1588450144869,6.63998025281737,17.0876441052907,71.9079988839331,16.6703582919818,102.999985083474,102.999985083474,15.6899507786503,9.53478449844541,17.6231433730679
40,9.71908742831691,15.8374540965386,8.52853143141861,56.2331077029047,7.19292769166325,19.7354930798095,70.7433861708666,16.4003673104562,120.281990793911,120.281990793911,15.6899507786503,8.52678335372405,15.8075869652816
48,10.3700464916636,15.408534872622,8.52304873667843,54.1813896979379,7.58638743592147,16.1941933682727,68.1622469618097,15.8019844311619,120.892508915642,120.892508915642,15.6899507786503,7.98692665869535,13.9198847021723
56,11.9015243213222,15.3471454953058,8.56114539779829,52.3693315176615,8.42451405191596,21.4922390270127,67.9880027134772,15.2350351374976,143.475385756136,143.475385756136,15.6899507786503,7.76022872217408,12.1321126115307
64,14.4660162028367,15.5264622339096,8.68165574974432,51.7687848910177,9.81476050805918,21.6020704932505,72.6977869912675,14.8090113491154,174.320639733858,174.320639733858,15.6899507786503,7.67986812355321,14.9364293981606
72,17.408703133029,16.1353965454564,9.00498830770263,52.9001731138094,11.3427738623591,20.8841039484264,75.8469740851699,14.7271977573422,196.918211821439,196.918211821439,15.6899507786503,7.51906705570982,18.4548119182033
80,19.9703722645977,15.7943056212992,8.80692706210325,52.8034422753658,13.4926587510517,22.1454869271578,69.7367274170537,13.8538543060074,232.801753678937,232.801753678937,15.6899507786503,7.29890962363412,21.1264127794139
88,20.4107630225779,15.2853259746159,8.29137126594708,50.4327197497899,15.4011668160674,18.3615038972541,62.5373752952639,12.608530512851,244.249182616386,244.249182616386,15.6899507786503,7.18030270108499,21.2016258380079
96,21.0710259476685,15.4872652265895,8.18899918910506,50.2707980947293,17.0964981700198,19.0278959839651,59.6791133901885,12.0977836068661,252.296660254372,252.296660254372,15.6899507786503,7.56917322521875,15.2711551537734
104,22.0147149110377,14.8742087248182,8.086195029484,49.6061737728947,19.5529264937823,20.5891284926518,57.8712593889786,11.7313065388096,286.623827897137,286.623827897137,15.6899507786503,9.09305566570061,6.44646643332984
112,22.8020562580631,14.7366315970474,8.08870209278549,52.5910746032425,22.0497344063574,19.2387487609883,58.8013333904359,11.4573821191131,313.567077185354,313.567077185354,15.6899507786503,12.6686025923793,0
120,24.4288518615765,15.4031413618434,8.48698009849631,60.165531845246,24.5279693853695,19.6863508130982,67.7125672898372,11.6535133969157,342.43761022053,342.43761022053,15.6899507786503,20.6685881352624,0
128,25.9032005583443,17.0445349238916,9.7632235595556,75.9206771138434,26.4786416708381,18.2984406666396,85.1640198438554,12.8734205200946,360.175917027618,360.175917027618,15.6899507786503,38.3520630399957,0
136,33.6094941745157,21.8138342600036,14.5596479977225,123.599653434741,28.0573754505383,19.0723710951167,131.423849210149,17.9679641178976,385.818146641805,385.818146641805,15.6899507786503,85.201101418419,0
144,23.478304308828,21.7655123881522,25.919121601575,196.94954422024,28.689484651844,17.8764863746616,200.992742100413,27.515337748483,403.188924987668,403.188924987668,15.6899507786503,155.494457373743,15.6899507786503
152,22.4607394145962,20.5435221392146,30.2642602653101,254.617368825184,28.0869875233962,17.7677130386168,254.496592971901,33.8665300265859,413.743434489103,413.743434489103,15.6899507786503,180.254651322078,15.6899507786503
160,22.5701836515185,19.6653854023551,33.7716466157472,312.782766325536,27.0967412201466,18.2599175267764,295.98268364618,39.5226887400621,440.504174853181,440.504174853181,15.6899507786503,206.91740172898,15.6899507786503
168,20.7849740031606,18.9420694295064,39.4742807402719,361.974055877115,25.3840858620845,17.4561966762568,328.421202151125,44.3093441521733,459.474141905578,459.474141905578,15.6899507786503,233.505926893333,15.6899507786503
176,17.8569711203266,18.2235537932378,40.5242938138411,377.215534930997,22.5213759358132,15.6631878338449,352.342496260183,48.0523060257629,441.672213584724,441.672213584724,15.6899507786503,250.987497043499,15.6899507786503
184,19.5645307469563,17.7045312411155,32.648213157106,404.152569699989,20.8184163561899,17.3241484515724,369.632940047551,50.7978599436468,452.640131360225,452.640131360225,15.6899507786503,265.236445170703,15.6899507786503
192,17.152021237142,17.3327500377509,24.7224297884665,417.216391882091,19.2655186618459,15.5813629978787,383.067553376793,52.7062908890384,449.88760405874,449.88760405874,15.6899507786503,279.736658123937,15.6899507786503
200,18.0491229605409,17.0002392125268,20.7730355334342,434.025352740234,18.3545232952856,16.5962915259863,393.385889426816,56.6137440114368,455.885341292812,455.885341292812,15.6899507786503,289.374274495589,15.6899507786503
208,16.1447438295371,16.6979232605757,18.8717522542943,434.624956304702,17.4143036569634,15.1552258020961,400.416141888134,59.4588490570472,447.99187312992,447.99187312992,15.6899507786503,297.617839118899,15.6899507786503
216,16.2225309323028,16.4771402071595,17.8805399595829,522.268797915894,16.5976184569888,15.3907995935173,493.882658537741,75.2737546695539,436.139680731979,436.139680731979,15.6899507786503,300.019821124337,15.6899507786503
224,15.2562752322944,16.3178903669716,17.3344993219516,711.546529775403,15.8654492542463,14.6045281503995,690.922060337733,105.587921249836,420.167979350952,420.167979350952,15.6899507786503,300.677464777253,15.6899507786503
232,12.5675028795157,16.0024830013798,16.6391864668252,756.543315980468,14.3452546847358,12.3284198598731,794.005900181337,123.241348294264,367.339846547332,367.339846547332,15.6899507786503,293.302634544561,15.6899507786503
240,13.4880758778263,15.6318780997246,15.7146005956139,735.415159407024,13.4182037463087,13.6184405026113,821.173303826613,129.177445543592,335.837728526407,335.837728526407,15.6899507786503,280.390404753725,15.6899507786503
248,13.2274430847029,15.3380130798664,14.8852674584288,696.797724909004,13.1533985549501,13.7016801434992,794.032347192333,127.828331052274,326.242116584715,326.242116584715,15.6899507786503,270.243769613695,15.6899507786503
256,12.4370068248638,15.1050222330428,14.2610927962458,637.696096672419,12.7978792588119,13.1950057207563,693.976633568346,121.298105878392,309.073045573703,309.073045573703,15.6899507786503,258.434244142275,15.6899507786503
264,11.2458440994202,14.7071239903804,13.6050100740181,552.089255557406,12.2230364324318,12.4327469765037,580.529759752991,111.635933139268,282.05199824377,282.05199824377,15.6899507786503,243.799447360881,15.6899507786503
272,10.3488464804106,14.2862110148996,12.9300438208426,467.619325215154,11.5735913995829,11.9735023344891,491.708418141425,101.900569411986,253.180557607252,253.180557607252,15.6899507786503,226.723230468175,15.6899507786503
