index,t,days,siteID,lpC,sdlpC,mld,dmld,N0,light,rPC,sdrPC,zeu,sdzeu,pgr,latitude,lpC_median,lpC_lb95,lpC_ub95,lpC_lb68,lpC_ub68
1,1,1,6,NaN,1.10091009593804,193.960866427157,1.12152273945783,18.1777503125,24.9930284764471,NaN,0.171335862784705,NaN,6.24466580821258,NaN,52.5,NaN,NaN,NaN,NaN,NaN
2,8,8,6,NaN,1.10091009593804,193.960866427157,1.41291901766704,18.1777503125,24.9930284764471,NaN,0.171335862784705,NaN,6.24466580821258,NaN,52.5,NaN,NaN,NaN,NaN,NaN
3,16,16,6,NaN,0.934568410161944,220.877412174145,1.70431530552883,18.1777503125,16.0745304942787,NaN,0.152536292386671,NaN,5.18761362325171,NaN,52.5,NaN,NaN,NaN,NaN,NaN
4,24,24,6,2.1970117590806,0.813381414854273,227.870922851166,0.874188836101041,18.1777503125,26.7113234989683,-0.107113290434633,0.124761504352517,60.7076436066896,3.20110668998987,NaN,52.5,2.1970117590806,0.602784185966225,3.79123933219497,1.38363034422633,3.01039317393487
5,32,32,6,1.38650723259928,1.00185777653954,234.864433759849,0.827562957041792,18.1777503125,33.6195712524495,0.0461519601165952,0.135096069996747,61.4518422968795,4.80725666171131,-0.0161658726673478,52.5,1.38650723259928,-0.577134009418218,3.35014847461678,0.38464945605974,2.38836500913882
6,40,40,6,1.7234917494523,1.04525441505927,241.85794424057,0.641059423729209,18.1777503125,34.1964348640833,0.000234807979472651,0.169757936450709,61.9661387403584,4.38637802212426,-0.0106056426052677,52.5,1.7234917494523,-0.325206904063869,3.77219040296847,0.67823733439303,2.76874616451157
7,48,48,6,1.72546088801061,1.17837235910127,247.732433820169,0.454555899407083,18.1777503125,43.4434418744281,-0.0821175582926844,0.213187745682312,63.9702016752966,5.5524132524272,0.010274431868778,52.5,1.72546088801061,-0.584148935827879,4.0350707118491,0.54708852890934,2.90383324711188
8,56,56,6,1.06852042166914,1.34736178603682,250.24985992935,0.314678244712166,18.1777503125,35.8861368511786,0.1071798740747,0.22874982389761,63.4869437821382,5.52505826666882,0.00474348140691508,52.5,1.06852042166914,-1.57230867896303,3.70934952230131,-0.27884136436768,2.41588220770596
9,64,64,6,1.92595941426673,1.2574028781944,252.76728582634,-0.829333781241251,18.1777503125,52.2822222419982,-0.0133468689006311,0.216083343632481,63.4162102773129,5.1021450635795,0.0413718150250408,52.5,1.92595941426673,-0.538550226994294,4.39046905552775,0.66855653607233,3.18336229246113
10,72,72,6,1.81918446306168,1.21385153557302,255.284711693261,-2.354683143411,18.1777503125,44.3907142432097,0.0290312663893002,0.197865554453504,61.86615482741,5.04550225527834,-0.00708287111814375,52.5,1.81918446306168,-0.559964546661439,4.1983334727848,0.60533292748866,3.0330359986347
11,80,80,6,2.05143459417608,0.955598489340946,230.34584917956,-3.88003249780171,18.1777503125,58.2884808427241,-0.0369330108430997,0.157377987191807,60.1797647078838,4.3141757511512,0.0170735867952917,52.5,2.05143459417608,0.178461555067826,3.92440763328433,1.09583610483513,3.00703308351703
12,88,88,6,1.75597050743128,0.836714149923922,196.254890384476,-4.26136984174037,18.1777503125,86.9275671462899,0.0591225048396753,0.129604079885744,58.4552783044185,3.66507836000753,-0.000707947189113752,52.5,1.75597050743128,0.116010773580393,3.39593024128217,0.919256357507358,2.5926846573552
13,96,96,6,2.22895054614868,0.632777068119214,162.16393174602,-3.89181677468538,18.1777503125,85.8016465741279,-0.0243133355639162,0.123980948038856,55.8026172014084,4.92807911263184,0.0210223722845983,52.5,2.22895054614868,0.988707492635021,3.46919359966234,1.59617347802947,2.86172761426789
14,104,104,6,2.03444386163735,0.759177021151458,128.072972977791,-3.46947041354524,18.1777503125,117.467918283102,0.0282579475780351,0.131584232477265,56.1466055950528,5.23847439849212,0.0255488778216263,52.5,2.03444386163735,0.546456900180492,3.52243082309421,1.27526684048589,2.79362088278881
15,112,112,6,2.26050744226164,0.773220867459535,102.851287792027,-3.04712404670815,18.1777503125,73.4720712839267,0.0727020214507599,0.11194643061525,50.2442822174567,6.37555217163354,0.0430789911626804,52.5,2.26050744226164,0.744994542040951,3.77602034248233,1.4872865748021,3.03372830972117
16,120,120,6,2.84212361386771,0.555408429265921,78.8966418209343,-2.88781313202378,18.1777503125,82.5594012653888,0.0282770044592465,0.0887479227011125,46.0950170708535,6.1996558775751,0.0314482033137617,52.5,2.84212361386771,1.7535230925065,3.93072413522892,2.28671518460179,3.39753204313363
17,128,128,6,3.06833964954168,0.574749137627656,54.9419958567953,-2.03567217943708,18.1777503125,107.961650887343,-0.00663441596872039,0.0824139646448123,44.9050865428983,6.50301270325324,0.0143102766069108,52.5,3.06833964954168,1.94183133979147,4.19484795929189,2.49359051191402,3.64308878716934
18,136,136,6,3.01526432179192,0.503731124051706,33.5437726234562,-1.18353122483388,18.1777503125,134.03808568685,0.0212882413302079,0.0872955992741373,46.9552315368425,6.22735414789849,0.0238478854385217,52.5,3.01526432179192,2.02795131865058,4.00257732493326,2.51153319774021,3.51899544584363
19,144,144,6,3.18557025243357,0.566001935045225,30.0405095144444,-0.437907884516233,18.1777503125,111.294395313151,0.0568898309540773,0.0774948865097576,43.6317617563578,7.846299467282,0.0231674252552675,52.5,3.18557025243357,2.07620645974493,4.29493404512221,2.61956831738835,3.75157218747879
20,152,152,6,3.6406889000662,0.401188277587879,26.5372464607822,-0.409614416347742,18.1777503125,136.908509060605,-0.0086757965184815,0.0534189146834431,41.8269089679258,6.24055957094696,0.0157482635425608,52.5,3.6406889000662,2.85435987599396,4.42701792413844,3.23950062247832,4.04187717765408
21,160,160,6,3.57128252791834,0.360152074192346,23.0339833950666,-0.29644055622595,18.1777503125,149.610178164789,-0.00096924380791409,0.0573285246612457,44.0009488116374,4.68156237554175,-0.000842841384554588,52.5,3.57128252791834,2.86538446250134,4.27718059333534,3.21113045372599,3.93143460211069
22,168,168,6,3.56352857745503,0.458097988789543,20.2097635220986,-0.183266695977225,18.1777503125,97.1539385499506,0.00711651617273434,0.0631859301773311,44.5239817490517,5.35926326039697,0.0054806280603425,52.5,3.56352857745503,2.66565651942753,4.46140063548253,3.10543058866549,4.02162656624457
23,176,176,6,3.62046070683689,0.600318015898136,19.4226731113594,-0.0983863007794709,18.1777503125,111.61176395182,0.010294611816207,0.0650274330312668,47.3604909912419,5.67480962681373,0.00143184682402168,52.5,3.62046070683689,2.44383739567654,4.79708401799724,3.02014269093875,4.22077872273503
