index,t,days,years,latmin,lonmin,latmax,lonmax,siteID
1,1,1,1998,40,-45,45,-35,1
2,8,8,1998,40,-45,45,-35,1
3,16,16,1998,40,-45,45,-35,1
4,24,24,1998,40,-45,45,-35,1
5,32,32,1998,40,-45,45,-35,1
6,40,40,1998,40,-45,45,-35,1
7,48,48,1998,40,-45,45,-35,1
8,56,56,1998,40,-45,45,-35,1
9,64,64,1998,40,-45,45,-35,1
10,72,72,1998,40,-45,45,-35,1
11,80,80,1998,40,-45,45,-35,1
12,88,88,1998,40,-45,45,-35,1
13,96,96,1998,40,-45,45,-35,1
14,104,104,1998,40,-45,45,-35,1
15,112,112,1998,40,-45,45,-35,1
16,120,120,1998,40,-45,45,-35,1
17,128,128,1998,40,-45,45,-35,1
18,136,136,1998,40,-45,45,-35,1
19,144,144,1998,40,-45,45,-35,1
20,152,152,1998,40,-45,45,-35,1
21,160,160,1998,40,-45,45,-35,1
22,168,168,1998,40,-45,45,-35,1
23,176,176,1998,40,-45,45,-35,1
24,184,184,1998,40,-45,45,-35,1
25,192,192,1998,40,-45,45,-35,1
26,200,200,1998,40,-45,45,-35,1
27,208,208,1998,40,-45,45,-35,1
28,216,216,1998,40,-45,45,-35,1
29,224,224,1998,40,-45,45,-35,1
30,232,232,1998,40,-45,45,-35,1
31,240,240,1998,40,-45,45,-35,1
32,248,248,1998,40,-45,45,-35,1
33,256,256,1998,40,-45,45,-35,1
34,264,264,1998,40,-45,45,-35,1
35,272,272,1998,40,-45,45,-35,1
36,280,280,1998,40,-45,45,-35,1
37,288,288,1998,40,-45,45,-35,1
38,296,296,1998,40,-45,45,-35,1
39,304,304,1998,40,-45,45,-35,1
40,312,312,1998,40,-45,45,-35,1
41,320,320,1998,40,-45,45,-35,1
42,328,328,1998,40,-45,45,-35,1
43,336,336,1998,40,-45,45,-35,1
44,344,344,1998,40,-45,45,-35,1
45,352,352,1998,40,-45,45,-35,1
46,360,360,1998,40,-45,45,-35,1
47,366,1,1999,40,-45,45,-35,1
48,373,8,1999,40,-45,45,-35,1
49,381,16,1999,40,-45,45,-35,1
50,389,24,1999,40,-45,45,-35,1
51,397,32,1999,40,-45,45,-35,1
52,405,40,1999,40,-45,45,-35,1
53,413,48,1999,40,-45,45,-35,1
54,421,56,1999,40,-45,45,-35,1
55,429,64,1999,40,-45,45,-35,1
56,437,72,1999,40,-45,45,-35,1
57,445,80,1999,40,-45,45,-35,1
58,453,88,1999,40,-45,45,-35,1
59,461,96,1999,40,-45,45,-35,1
60,469,104,1999,40,-45,45,-35,1
61,477,112,1999,40,-45,45,-35,1
62,485,120,1999,40,-45,45,-35,1
63,493,128,1999,40,-45,45,-35,1
64,501,136,1999,40,-45,45,-35,1
65,509,144,1999,40,-45,45,-35,1
66,517,152,1999,40,-45,45,-35,1
67,525,160,1999,40,-45,45,-35,1
68,533,168,1999,40,-45,45,-35,1
69,541,176,1999,40,-45,45,-35,1
70,549,184,1999,40,-45,45,-35,1
71,557,192,1999,40,-45,45,-35,1
72,565,200,1999,40,-45,45,-35,1
73,573,208,1999,40,-45,45,-35,1
74,581,216,1999,40,-45,45,-35,1
75,589,224,1999,40,-45,45,-35,1
76,597,232,1999,40,-45,45,-35,1
77,605,240,1999,40,-45,45,-35,1
78,613,248,1999,40,-45,45,-35,1
79,621,256,1999,40,-45,45,-35,1
80,629,264,1999,40,-45,45,-35,1
81,637,272,1999,40,-45,45,-35,1
82,645,280,1999,40,-45,45,-35,1
83,653,288,1999,40,-45,45,-35,1
84,661,296,1999,40,-45,45,-35,1
85,669,304,1999,40,-45,45,-35,1
86,677,312,1999,40,-45,45,-35,1
87,685,320,1999,40,-45,45,-35,1
88,693,328,1999,40,-45,45,-35,1
89,701,336,1999,40,-45,45,-35,1
90,709,344,1999,40,-45,45,-35,1
91,717,352,1999,40,-45,45,-35,1
92,725,360,1999,40,-45,45,-35,1
93,732,1,2000,40,-45,45,-35,1
94,739,8,2000,40,-45,45,-35,1
95,747,16,2000,40,-45,45,-35,1
96,755,24,2000,40,-45,45,-35,1
97,763,32,2000,40,-45,45,-35,1
98,771,40,2000,40,-45,45,-35,1
99,779,48,2000,40,-45,45,-35,1
100,787,56,2000,40,-45,45,-35,1
101,795,64,2000,40,-45,45,-35,1
102,803,72,2000,40,-45,45,-35,1
103,811,80,2000,40,-45,45,-35,1
104,819,88,2000,40,-45,45,-35,1
105,827,96,2000,40,-45,45,-35,1
106,835,104,2000,40,-45,45,-35,1
107,843,112,2000,40,-45,45,-35,1
108,851,120,2000,40,-45,45,-35,1
109,859,128,2000,40,-45,45,-35,1
110,867,136,2000,40,-45,45,-35,1
111,875,144,2000,40,-45,45,-35,1
112,883,152,2000,40,-45,45,-35,1
113,891,160,2000,40,-45,45,-35,1
114,899,168,2000,40,-45,45,-35,1
115,907,176,2000,40,-45,45,-35,1
116,915,184,2000,40,-45,45,-35,1
117,923,192,2000,40,-45,45,-35,1
118,931,200,2000,40,-45,45,-35,1
119,939,208,2000,40,-45,45,-35,1
120,947,216,2000,40,-45,45,-35,1
121,955,224,2000,40,-45,45,-35,1
122,963,232,2000,40,-45,45,-35,1
123,971,240,2000,40,-45,45,-35,1
124,979,248,2000,40,-45,45,-35,1
125,987,256,2000,40,-45,45,-35,1
126,995,264,2000,40,-45,45,-35,1
127,1003,272,2000,40,-45,45,-35,1
128,1011,280,2000,40,-45,45,-35,1
129,1019,288,2000,40,-45,45,-35,1
130,1027,296,2000,40,-45,45,-35,1
131,1035,304,2000,40,-45,45,-35,1
132,1043,312,2000,40,-45,45,-35,1
133,1051,320,2000,40,-45,45,-35,1
134,1059,328,2000,40,-45,45,-35,1
135,1067,336,2000,40,-45,45,-35,1
136,1075,344,2000,40,-45,45,-35,1
137,1083,352,2000,40,-45,45,-35,1
138,1091,360,2000,40,-45,45,-35,1
139,1097,1,2001,40,-45,45,-35,1
140,1104,8,2001,40,-45,45,-35,1
141,1112,16,2001,40,-45,45,-35,1
142,1120,24,2001,40,-45,45,-35,1
143,1128,32,2001,40,-45,45,-35,1
144,1136,40,2001,40,-45,45,-35,1
145,1144,48,2001,40,-45,45,-35,1
146,1152,56,2001,40,-45,45,-35,1
147,1160,64,2001,40,-45,45,-35,1
148,1168,72,2001,40,-45,45,-35,1
149,1176,80,2001,40,-45,45,-35,1
150,1184,88,2001,40,-45,45,-35,1
151,1192,96,2001,40,-45,45,-35,1
152,1200,104,2001,40,-45,45,-35,1
153,1208,112,2001,40,-45,45,-35,1
154,1216,120,2001,40,-45,45,-35,1
155,1224,128,2001,40,-45,45,-35,1
156,1232,136,2001,40,-45,45,-35,1
157,1240,144,2001,40,-45,45,-35,1
158,1248,152,2001,40,-45,45,-35,1
159,1256,160,2001,40,-45,45,-35,1
160,1264,168,2001,40,-45,45,-35,1
161,1272,176,2001,40,-45,45,-35,1
162,1280,184,2001,40,-45,45,-35,1
163,1288,192,2001,40,-45,45,-35,1
164,1296,200,2001,40,-45,45,-35,1
165,1304,208,2001,40,-45,45,-35,1
166,1312,216,2001,40,-45,45,-35,1
167,1320,224,2001,40,-45,45,-35,1
168,1328,232,2001,40,-45,45,-35,1
169,1336,240,2001,40,-45,45,-35,1
170,1344,248,2001,40,-45,45,-35,1
171,1352,256,2001,40,-45,45,-35,1
172,1360,264,2001,40,-45,45,-35,1
173,1368,272,2001,40,-45,45,-35,1
174,1376,280,2001,40,-45,45,-35,1
175,1384,288,2001,40,-45,45,-35,1
176,1392,296,2001,40,-45,45,-35,1
177,1400,304,2001,40,-45,45,-35,1
178,1408,312,2001,40,-45,45,-35,1
179,1416,320,2001,40,-45,45,-35,1
180,1424,328,2001,40,-45,45,-35,1
181,1432,336,2001,40,-45,45,-35,1
182,1440,344,2001,40,-45,45,-35,1
183,1448,352,2001,40,-45,45,-35,1
184,1456,360,2001,40,-45,45,-35,1
