tc,days,years,latmin,lonmin,latmax,lonmax,PhytC,stDevPhytC
1,1,1998,40,-45,45,-35,10.6419825246113,10.310832818747
2,9,1998,40,-45,45,-35,6.83171505888202,6.77297035641545
3,17,1998,40,-45,45,-35,7.13777125683411,6.86770801821233
4,25,1998,40,-45,45,-35,5.44519117706792,6.78596228093833
5,33,1998,40,-45,45,-35,4.19789845854256,7.40015455181591
6,41,1998,40,-45,45,-35,9.53060626115053,7.91525382811277
7,49,1998,40,-45,45,-35,14.0458993516697,9.75847114488333
8,57,1998,40,-45,45,-35,11.3916121620313,8.33231244089128
9,65,1998,40,-45,45,-35,9.80111071380682,7.22271303626011
10,73,1998,40,-45,45,-35,9.39694807793972,7.64054041278367
11,81,1998,40,-45,45,-35,10.2577472714018,8.30361093669272
12,89,1998,40,-45,45,-35,8.92377548848062,8.69390803268508
13,97,1998,40,-45,45,-35,13.5027191723055,11.352426974519
14,105,1998,40,-45,45,-35,27.2956005421364,15.6628113828331
15,113,1998,40,-45,45,-35,25.8546231641952,12.6874137986709
16,121,1998,40,-45,45,-35,33.2957716803418,19.7263973472509
17,129,1998,40,-45,45,-35,31.1338935038613,14.2381413950146
18,137,1998,40,-45,45,-35,31.9177264515145,15.1883156175038
19,145,1998,40,-45,45,-35,26.6644648361041,10.4081264348274
20,153,1998,40,-45,45,-35,24.3978846950498,10.4760066717601
21,161,1998,40,-45,45,-35,21.6882518529065,8.76634822328199
22,169,1998,40,-45,45,-35,13.0766283902526,5.83068602407632
23,177,1998,40,-45,45,-35,12.834197411471,5.19758313858514
24,185,1998,40,-45,45,-35,12.8473056885683,3.87186589015087
25,193,1998,40,-45,45,-35,12.2460366981145,4.04151062429169
26,201,1998,40,-45,45,-35,13.2965723457726,4.72952819565027
27,209,1998,40,-45,45,-35,9.33268142118637,4.70569692751643
28,217,1998,40,-45,45,-35,11.4374210575927,4.8427523131275
29,225,1998,40,-45,45,-35,9.6787178715443,3.69693012329364
30,233,1998,40,-45,45,-35,11.2431576788219,4.46904924010233
31,241,1998,40,-45,45,-35,11.8277982493573,5.90366103265517
32,249,1998,40,-45,45,-35,10.9534902116574,4.77898645317204
33,257,1998,40,-45,45,-35,11.0532511478228,7.55134468186758
34,265,1998,40,-45,45,-35,7.61149888054158,4.78868054993261
35,273,1998,40,-45,45,-35,10.5250575284081,6.06456843251791
36,281,1998,40,-45,45,-35,9.93759557328913,5.40393042675347
37,289,1998,40,-45,45,-35,15.2268898788726,6.83900493160402
38,297,1998,40,-45,45,-35,8.62406461641193,7.14934878797886
39,305,1998,40,-45,45,-35,9.36784473142279,7.61719642717031
40,313,1998,40,-45,45,-35,6.84377333194948,6.68706510128005
41,321,1998,40,-45,45,-35,8.03237682275528,6.66496521839205
42,329,1998,40,-45,45,-35,12.2270322482576,7.46818968323354
43,337,1998,40,-45,45,-35,10.3018141791121,7.10027314649494
44,345,1998,40,-45,45,-35,12.2494810320561,7.42356560295471
45,353,1998,40,-45,45,-35,12.1959564075149,8.75706931511994
46,361,1998,40,-45,45,-35,15.7961602028232,16.2587543899949
47,1,1999,40,-45,45,-35,15.9569265875531,13.3719115985583
48,9,1999,40,-45,45,-35,9.39499657264601,9.92748407144978
49,17,1999,40,-45,45,-35,9.61760321312483,8.36341079151985
50,25,1999,40,-45,45,-35,12.3377211883067,11.0871454467968
