index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC
1,1,1,1998,40,-45,45,-35,1,1.93086814488568
2,8,8,1998,40,-45,45,-35,1,1.93086814488568
3,16,16,1998,40,-45,45,-35,1,1.56304291375722
4,24,24,1998,40,-45,45,-35,1,1.53956238949898
5,32,32,1998,40,-45,45,-35,1,1.14012395233716
6,40,40,1998,40,-45,45,-35,1,0.64830563675501
7,48,48,1998,40,-45,45,-35,1,1.92810435584183
8,56,56,1998,40,-45,45,-35,1,2.48664094886573
9,64,64,1998,40,-45,45,-35,1,1.9588044245909
10,72,72,1998,40,-45,45,-35,1,2.08562809846264
11,80,80,1998,40,-45,45,-35,1,1.8608182368905
12,88,88,1998,40,-45,45,-35,1,1.86471059233464
13,96,96,1998,40,-45,45,-35,1,1.45308483121759
14,104,104,1998,40,-45,45,-35,1,2.42073172904278
15,112,112,1998,40,-45,45,-35,1,3.15163525603117
16,120,120,1998,40,-45,45,-35,1,3.09245275045351
17,128,128,1998,40,-45,45,-35,1,3.38667805570829
18,136,136,1998,40,-45,45,-35,1,3.31982897326299
19,144,144,1998,40,-45,45,-35,1,3.28640518761058
20,152,152,1998,40,-45,45,-35,1,3.20901831791162
21,160,160,1998,40,-45,45,-35,1,3.10956727124709
22,168,168,1998,40,-45,45,-35,1,3.01248057667743
23,176,176,1998,40,-45,45,-35,1,2.52690808221874
24,184,184,1998,40,-45,45,-35,1,2.50690616354699
25,192,192,1998,40,-45,45,-35,1,2.52496661682619
26,200,200,1998,40,-45,45,-35,1,2.46496088184393
27,208,208,1998,40,-45,45,-35,1,2.54121331015996
28,216,216,1998,40,-45,45,-35,1,2.1423476575742
29,224,224,1998,40,-45,45,-35,1,2.38476507862906
30,232,232,1998,40,-45,45,-35,1,2.22890106145301
31,240,240,1998,40,-45,45,-35,1,2.36203562569544
32,248,248,1998,40,-45,45,-35,1,2.34748906695081
33,256,256,1998,40,-45,45,-35,1,2.36155151044965
34,264,264,1998,40,-45,45,-35,1,2.24021888407653
35,272,272,1998,40,-45,45,-35,1,1.93469553037155
36,280,280,1998,40,-45,45,-35,1,2.23075333898277
37,288,288,1998,40,-45,45,-35,1,2.15262493748042
38,296,296,1998,40,-45,45,-35,1,2.58221109293894
39,304,304,1998,40,-45,45,-35,1,1.93384789401082
40,312,312,1998,40,-45,45,-35,1,2.02592693090274
41,320,320,1998,40,-45,45,-35,1,1.53351102723302
42,328,328,1998,40,-45,45,-35,1,1.87276229743406
43,336,336,1998,40,-45,45,-35,1,2.22313091513069
44,344,344,1998,40,-45,45,-35,1,2.03057562010709
45,352,352,1998,40,-45,45,-35,1,2.29898411300345
46,360,360,1998,40,-45,45,-35,1,2.31738827547028
47,366,1,1999,40,-45,45,-35,1,2.44398869448277
48,373,8,1999,40,-45,45,-35,1,2.44398869448277
49,381,16,1999,40,-45,45,-35,1,2.07705189797145
50,389,24,1999,40,-45,45,-35,1,2.04316194191234
51,397,32,1999,40,-45,45,-35,1,2.17356646698712
52,405,40,1999,40,-45,45,-35,1,1.4032972130234
53,413,48,1999,40,-45,45,-35,1,2.15060578547134
54,421,56,1999,40,-45,45,-35,1,2.14692796466353
55,429,64,1999,40,-45,45,-35,1,1.74036135626867
56,437,72,1999,40,-45,45,-35,1,2.25357812646472
57,445,80,1999,40,-45,45,-35,1,2.15840228362391
58,453,88,1999,40,-45,45,-35,1,2.63327539044839
59,461,96,1999,40,-45,45,-35,1,2.4000087827884
60,469,104,1999,40,-45,45,-35,1,3.09247909283859
61,477,112,1999,40,-45,45,-35,1,2.9911458088129
62,485,120,1999,40,-45,45,-35,1,2.62834938506065
63,493,128,1999,40,-45,45,-35,1,3.11390983623088
64,501,136,1999,40,-45,45,-35,1,3.17201955051182
65,509,144,1999,40,-45,45,-35,1,3.16200255971524
66,517,152,1999,40,-45,45,-35,1,2.97112540270224
67,525,160,1999,40,-45,45,-35,1,2.76120900962189
68,533,168,1999,40,-45,45,-35,1,2.57480478778332
69,541,176,1999,40,-45,45,-35,1,2.48889134315413
70,549,184,1999,40,-45,45,-35,1,2.21028261489643
71,557,192,1999,40,-45,45,-35,1,2.35706342581202
72,565,200,1999,40,-45,45,-35,1,2.55029713659583
