index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0
1,1,1,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366,118.963939735327,15.5072484375
2,8,8,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366,118.963939735327,15.5072484375
3,16,16,1998,40,-45,45,-35,1,1.56304291375722,1.06875983281991,132.579377199544,15.5072484375
4,24,24,1998,40,-45,45,-35,1,1.53956238949898,1.15147127566262,137.785073442691,15.5072484375
5,32,32,1998,40,-45,45,-35,1,1.14012395233716,1.23431673032577,142.990769676865,15.5072484375
6,40,40,1998,40,-45,45,-35,1,0.64830563675501,1.45635827029926,148.196466123826,15.5072484375
7,48,48,1998,40,-45,45,-35,1,1.92810435584183,0.944018154183117,148.776452272104,15.5072484375
8,56,56,1998,40,-45,45,-35,1,2.48664094886573,0.687267755329232,135.479308839507,15.5072484375
9,64,64,1998,40,-45,45,-35,1,1.9588044245909,1.14451937200936,122.182165325251,15.5072484375
10,72,72,1998,40,-45,45,-35,1,2.08562809846264,0.725923757502664,108.885021648242,15.5072484375
11,80,80,1998,40,-45,45,-35,1,1.8608182368905,0.97967968579822,106.87128102089,15.5072484375
12,88,88,1998,40,-45,45,-35,1,1.86471059233464,1.04946278944658,108.618674605953,15.5072484375
13,96,96,1998,40,-45,45,-35,1,1.45308483121759,1.26856185389452,110.366068305026,15.5072484375
14,104,104,1998,40,-45,45,-35,1,2.42073172904278,0.632335555213549,112.113462259554,15.5072484375
15,112,112,1998,40,-45,45,-35,1,3.15163525603117,0.532939633036334,94.0673257550766,15.5072484375
16,120,120,1998,40,-45,45,-35,1,3.09245275045351,0.592686295527091,73.1935419118901,15.5072484375
17,128,128,1998,40,-45,45,-35,1,3.38667805570829,0.547388749861781,52.3197582471869,15.5072484375
18,136,136,1998,40,-45,45,-35,1,3.31982897326299,0.498544385439361,33.5418098849224,15.5072484375
19,144,144,1998,40,-45,45,-35,1,3.28640518761058,0.599451696796138,29.4347084187469,15.5072484375
20,152,152,1998,40,-45,45,-35,1,3.20901831791162,0.42328696236519,25.327606995172,15.5072484375
21,160,160,1998,40,-45,45,-35,1,3.10956727124709,0.418817203747889,21.2205055874255,15.5072484375
22,168,168,1998,40,-45,45,-35,1,3.01248057667743,0.394780055891702,17.8924579286907,15.5072484375
23,176,176,1998,40,-45,45,-35,1,2.52690808221874,0.38225679673723,16.901571689513,15.5072484375
24,184,184,1998,40,-45,45,-35,1,2.50690616354699,0.360985688011122,15.9106854681091,15.5072484375
25,192,192,1998,40,-45,45,-35,1,2.52496661682619,0.279031100992894,14.9197992386669,15.5072484375
26,200,200,1998,40,-45,45,-35,1,2.46496088184393,0.31223388494647,14.3830534968194,15.5072484375
27,208,208,1998,40,-45,45,-35,1,2.54121331015996,0.333119810029859,14.3004482274172,15.5072484375
28,216,216,1998,40,-45,45,-35,1,2.1423476575742,0.427821906562947,14.217842970921,15.5072484375
29,224,224,1998,40,-45,45,-35,1,2.38476507862906,0.34278698955229,14.1352377209068,15.5072484375
30,232,232,1998,40,-45,45,-35,1,2.22890106145301,0.316496744953685,15.7757099049539,15.5072484375
31,240,240,1998,40,-45,45,-35,1,2.36203562569544,0.358752447769979,18.4500285426941,15.5072484375
32,248,248,1998,40,-45,45,-35,1,2.34748906695081,0.54354090597798,21.1243472095662,15.5072484375
33,256,256,1998,40,-45,45,-35,1,2.36155151044965,0.330686009148965,23.7986658419007,15.5072484375
34,264,264,1998,40,-45,45,-35,1,2.24021888407653,0.592145253936427,25.764638563825,15.5072484375
35,272,272,1998,40,-45,45,-35,1,1.93469553037155,0.495258104002431,27.4944959211681,15.5072484375
36,280,280,1998,40,-45,45,-35,1,2.23075333898277,0.54642637748206,29.224353360004,15.5072484375
37,288,288,1998,40,-45,45,-35,1,2.15262493748042,0.572193724147562,30.9542107154927,15.5072484375
38,296,296,1998,40,-45,45,-35,1,2.58221109293894,0.602673677649113,35.4260640374654,15.5072484375
39,304,304,1998,40,-45,45,-35,1,1.93384789401082,0.778687730408701,39.8979174310136,15.5072484375
40,312,312,1998,40,-45,45,-35,1,2.02592693090274,0.726329510697103,44.3697707305518,15.5072484375
41,320,320,1998,40,-45,45,-35,1,1.53351102723302,1.01782057823336,49.2187395119172,15.5072484375
42,328,328,1998,40,-45,45,-35,1,1.87276229743406,0.802180509883427,56.707516763939,15.5072484375
43,336,336,1998,40,-45,45,-35,1,2.22313091513069,0.894772394933822,64.196293874019,15.5072484375
44,344,344,1998,40,-45,45,-35,1,2.03057562010709,0.962637830168036,71.6850711160238,15.5072484375
45,352,352,1998,40,-45,45,-35,1,2.29898411300345,0.845823454820573,81.7426317327886,15.5072484375
46,360,360,1998,40,-45,45,-35,1,2.31738827547028,0.760820518917375,96.0814983512629,15.5072484375
47,366,1,1999,40,-45,45,-35,1,2.44398869448277,0.952140649557601,136.58552803437,15.5072484375
48,373,8,1999,40,-45,45,-35,1,2.44398869448277,0.952140649557601,136.58552803437,15.5072484375
49,381,16,1999,40,-45,45,-35,1,2.07705189797145,0.747616709178949,153.328404699631,15.5072484375
50,389,24,1999,40,-45,45,-35,1,2.04316194191234,0.805672895754658,143.057165263229,15.5072484375
51,397,32,1999,40,-45,45,-35,1,2.17356646698712,0.978829554778287,132.78592609995,15.5072484375
52,405,40,1999,40,-45,45,-35,1,1.4032972130234,0.962531538032507,122.514686821832,15.5072484375
53,413,48,1999,40,-45,45,-35,1,2.15060578547134,0.716912386309351,113.389369787508,15.5072484375
54,421,56,1999,40,-45,45,-35,1,2.14692796466353,0.815387047139337,107.701819542448,15.5072484375
55,429,64,1999,40,-45,45,-35,1,1.74036135626867,1.05093603156241,102.014269161953,15.5072484375
56,437,72,1999,40,-45,45,-35,1,2.25357812646472,0.747464373760381,96.3267188710308,15.5072484375
57,445,80,1999,40,-45,45,-35,1,2.15840228362391,0.826793174583789,98.1370186528895,15.5072484375
58,453,88,1999,40,-45,45,-35,1,2.63327539044839,0.69127395574991,102.44660168863,15.5072484375
59,461,96,1999,40,-45,45,-35,1,2.4000087827884,0.658314819550573,106.756184595857,15.5072484375
60,469,104,1999,40,-45,45,-35,1,3.09247909283859,0.735312155043919,111.065767646234,15.5072484375
61,477,112,1999,40,-45,45,-35,1,2.9911458088129,0.593557554129245,104.076449143656,15.5072484375
62,485,120,1999,40,-45,45,-35,1,2.62834938506065,0.734243654674747,95.4730023385754,15.5072484375
63,493,128,1999,40,-45,45,-35,1,3.11390983623088,0.484187706667605,86.869554717276,15.5072484375
64,501,136,1999,40,-45,45,-35,1,3.17201955051182,0.496053523426408,77.7579323385325,15.5072484375
65,509,144,1999,40,-45,45,-35,1,3.16200255971524,0.410696321393846,65.0890834288299,15.5072484375
66,517,152,1999,40,-45,45,-35,1,2.97112540270224,0.373399505660045,52.4202345291608,15.5072484375
67,525,160,1999,40,-45,45,-35,1,2.76120900962189,0.349337935216386,39.7513856545422,15.5072484375
68,533,168,1999,40,-45,45,-35,1,2.57480478778332,0.420982475885913,29.5088031612667,15.5072484375
69,541,176,1999,40,-45,45,-35,1,2.48889134315413,0.395616304718143,26.5450198483797,15.5072484375
70,549,184,1999,40,-45,45,-35,1,2.21028261489643,0.530562297519762,23.5812364747458,15.5072484375
71,557,192,1999,40,-45,45,-35,1,2.35706342581202,0.293733056762934,20.617453131593,15.5072484375
72,565,200,1999,40,-45,45,-35,1,2.55029713659583,0.282694625707936,18.8754159137276,15.5072484375
73,573,208,1999,40,-45,45,-35,1,2.60397071002614,0.404732368733134,18.3551248281698,15.5072484375
74,581,216,1999,40,-45,45,-35,1,2.63862891607059,0.352567923473108,17.8348337323302,15.5072484375
75,589,224,1999,40,-45,45,-35,1,2.40552833184685,0.352589437574237,17.3145426362505,15.5072484375
76,597,232,1999,40,-45,45,-35,1,2.42690245843142,0.350377121497266,19.3883301699493,15.5072484375
77,605,240,1999,40,-45,45,-35,1,2.34187057845359,0.453930914808719,23.0185648392803,15.5072484375
78,613,248,1999,40,-45,45,-35,1,2.22810613737768,0.456019762270582,26.6487994902995,15.5072484375
79,621,256,1999,40,-45,45,-35,1,2.19163113835476,0.384214754186887,30.2790341642002,15.5072484375
80,629,264,1999,40,-45,45,-35,1,2.26491891498926,0.625419121348665,33.5952813266052,15.5072484375
