index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD
1,1,1,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366,118.963939735327
2,8,8,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366,118.963939735327
3,16,16,1998,40,-45,45,-35,1,1.56304291375722,1.06875983281991,132.579377199544
4,24,24,1998,40,-45,45,-35,1,1.53956238949898,1.15147127566262,137.785073442691
5,32,32,1998,40,-45,45,-35,1,1.14012395233716,1.23431673032577,142.990769676865
6,40,40,1998,40,-45,45,-35,1,0.64830563675501,1.45635827029926,148.196466123826
7,48,48,1998,40,-45,45,-35,1,1.92810435584183,0.944018154183117,148.776452272104
8,56,56,1998,40,-45,45,-35,1,2.48664094886573,0.687267755329232,135.479308839507
9,64,64,1998,40,-45,45,-35,1,1.9588044245909,1.14451937200936,122.182165325251
10,72,72,1998,40,-45,45,-35,1,2.08562809846264,0.725923757502664,108.885021648242
11,80,80,1998,40,-45,45,-35,1,1.8608182368905,0.97967968579822,106.87128102089
12,88,88,1998,40,-45,45,-35,1,1.86471059233464,1.04946278944658,108.618674605953
13,96,96,1998,40,-45,45,-35,1,1.45308483121759,1.26856185389452,110.366068305026
14,104,104,1998,40,-45,45,-35,1,2.42073172904278,0.632335555213549,112.113462259554
15,112,112,1998,40,-45,45,-35,1,3.15163525603117,0.532939633036334,94.0673257550766
16,120,120,1998,40,-45,45,-35,1,3.09245275045351,0.592686295527091,73.1935419118901
17,128,128,1998,40,-45,45,-35,1,3.38667805570829,0.547388749861781,52.3197582471869
18,136,136,1998,40,-45,45,-35,1,3.31982897326299,0.498544385439361,33.5418098849224
19,144,144,1998,40,-45,45,-35,1,3.28640518761058,0.599451696796138,29.4347084187469
20,152,152,1998,40,-45,45,-35,1,3.20901831791162,0.42328696236519,25.327606995172
21,160,160,1998,40,-45,45,-35,1,3.10956727124709,0.418817203747889,21.2205055874255
22,168,168,1998,40,-45,45,-35,1,3.01248057667743,0.394780055891702,17.8924579286907
23,176,176,1998,40,-45,45,-35,1,2.52690808221874,0.38225679673723,16.901571689513
