index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC,MLD,N0,light,pgrPhytC,sdpgrPhytC,Zeu,sdZeu
1,1,1,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366,118.963939735327,15.5072484375,NaN,-0.045978153891059,0.136263055141965,62.395448127754,5.60873728936459
2,8,8,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366,118.963939735327,15.5072484375,32.4354889137826,-0.045978153891059,0.136263055141965,62.395448127754,5.60873728936459
3,16,16,1998,40,-45,45,-35,1,1.56304291375722,1.06875983281991,132.579377199544,15.5072484375,41.5635719793862,-0.00293506553227965,0.1815490348101,63.9533521328375,5.61318948473833
4,24,24,1998,40,-45,45,-35,1,1.53956238949898,1.15147127566262,137.785073442691,15.5072484375,58.8601975301401,-0.0499298046452277,0.20387734850259,63.0248754793082,4.87551610718206
5,32,32,1998,40,-45,45,-35,1,1.14012395233716,1.23431673032577,142.990769676865,15.5072484375,57.094704994178,-0.0614772894477694,0.219890588018632,65.7947371594119,4.9021731863522
6,40,40,1998,40,-45,45,-35,1,0.64830563675501,1.45635827029926,148.196466123826,15.5072484375,48.7343391183721,0.159974839885855,0.190853594101388,65.0943685466389,5.04372763706592
7,48,48,1998,40,-45,45,-35,1,1.92810435584183,0.944018154183117,148.776452272104,15.5072484375,37.9135351802503,0.0698170741279884,0.137607032824899,64.2961747264539,4.9068191049295
8,56,56,1998,40,-45,45,-35,1,2.48664094886573,0.687267755329232,135.479308839507,15.5072484375,57.2370220644588,-0.0659795655343542,0.15960020885092,61.9084807933378,5.08480814946382
9,64,64,1998,40,-45,45,-35,1,1.9588044245909,1.14451937200936,122.182165325251,15.5072484375,64.0677672582781,0.0158529592339677,0.144443706971157,56.8341021734485,6.2357033484294
10,72,72,1998,40,-45,45,-35,1,2.08562809846264,0.725923757502664,108.885021648242,15.5072484375,82.4684247531982,-0.0281012326965191,0.144672247819108,56.4580740688583,5.81186141217379
11,80,80,1998,40,-45,45,-35,1,1.8608182368905,0.97967968579822,106.87128102089,15.5072484375,93.1583539498449,0.000486544430517936,0.156247758481451,54.187236588863,7.33757827909795
12,88,88,1998,40,-45,45,-35,1,1.86471059233464,1.04946278944658,108.618674605953,15.5072484375,78.576273288207,-0.0514532201396328,0.186528247725099,47.5138371018243,8.41472653450693
13,96,96,1998,40,-45,45,-35,1,1.45308483121759,1.26856185389452,110.366068305026,15.5072484375,108.402087534229,0.120955862228151,0.167417604442989,56.3917349524638,6.6075630125724
14,104,104,1998,40,-45,45,-35,1,2.42073172904278,0.632335555213549,112.113462259554,15.5072484375,113.334749158921,0.0913629408735505,0.0875048116210109,48.8981395614485,7.01851369235891
15,112,112,1998,40,-45,45,-35,1,3.15163525603117,0.532939633036334,94.0673257550766,15.5072484375,109.239240324752,-0.0073978131972087,0.0927171922435507,43.8525225085688,7.93257558736389
16,120,120,1998,40,-45,45,-35,1,3.09245275045351,0.592686295527091,73.1935419118901,15.5072484375,122.982581615129,0.0367781631568488,0.0901856460499336,46.2272544690475,6.50096412389434
17,128,128,1998,40,-45,45,-35,1,3.38667805570829,0.547388749861781,52.3197582471869,15.5072484375,122.278263963844,-0.00835613530566109,0.0873653735508642,45.1266346912587,6.91637997886764
18,136,136,1998,40,-45,45,-35,1,3.31982897326299,0.498544385439361,33.5418098849224,15.5072484375,88.35604062552,-0.00417797320655266,0.0911177695886439,49.8037242832124,6.1239248401352
19,144,144,1998,40,-45,45,-35,1,3.28640518761058,0.599451696796138,29.4347084187469,15.5072484375,124.909349772183,-0.00967335871237047,0.0774324942732952,48.6439611953171,7.12127490420888
20,152,152,1998,40,-45,45,-35,1,3.20901831791162,0.42328696236519,25.327606995172,15.5072484375,142.082093101887,-0.0124313808330663,0.0578884891133355,52.8763668535822,6.65997050475286
21,160,160,1998,40,-45,45,-35,1,3.10956727124709,0.418817203747889,21.2205055874255,15.5072484375,141.453387199178,-0.0121358368212087,0.0585150511727609,52.6546618936135,6.85637064672593
22,168,168,1998,40,-45,45,-35,1,3.01248057667743,0.394780055891702,17.8924579286907,15.5072484375,122.661309301509,-0.0606965618073356,0.062166810841123,56.0300420879662,6.58502641953043
23,176,176,1998,40,-45,45,-35,1,2.52690808221874,0.38225679673723,16.901571689513,15.5072484375,125.564530174802,-0.00250023983396851,0.0599409575231468,60.7693623728892,6.37620428118102
24,184,184,1998,40,-45,45,-35,1,2.50690616354699,0.360985688011122,15.9106854681091,15.5072484375,130.428419608749,0.00225755665989927,0.0527333357326622,65.1754336083273,6.33601220159395
25,192,192,1998,40,-45,45,-35,1,2.52496661682619,0.279031100992894,14.9197992386669,15.5072484375,135.086815442315,-0.00750071687278271,0.0501464886362333,68.6208860617553,5.99728245196065
26,200,200,1998,40,-45,45,-35,1,2.46496088184393,0.31223388494647,14.3830534968194,15.5072484375,111.404749147505,0.00953155353950331,0.0570029609901581,68.6542327427207,6.49767533552306
27,208,208,1998,40,-45,45,-35,1,2.54121331015996,0.333119810029859,14.3004482274172,15.5072484375,115.149133190477,-0.049858206573219,0.0652711434965014,67.7881329135772,5.81621849186906
