index,t,days,years,latmin,lonmin,latmax,lonmax,siteID,lpC,sdlpC
1,1,1,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366
2,8,8,1998,40,-45,45,-35,1,1.93086814488568,1.14746232821366
3,16,16,1998,40,-45,45,-35,1,1.56304291375722,1.06875983281991
4,24,24,1998,40,-45,45,-35,1,1.53956238949898,1.15147127566262
5,32,32,1998,40,-45,45,-35,1,1.14012395233716,1.23431673032577
6,40,40,1998,40,-45,45,-35,1,0.64830563675501,1.45635827029926
7,48,48,1998,40,-45,45,-35,1,1.92810435584183,0.944018154183117
8,56,56,1998,40,-45,45,-35,1,2.48664094886573,0.687267755329232
9,64,64,1998,40,-45,45,-35,1,1.9588044245909,1.14451937200936
10,72,72,1998,40,-45,45,-35,1,2.08562809846264,0.725923757502664
11,80,80,1998,40,-45,45,-35,1,1.8608182368905,0.97967968579822
12,88,88,1998,40,-45,45,-35,1,1.86471059233464,1.04946278944658
13,96,96,1998,40,-45,45,-35,1,1.45308483121759,1.26856185389452
14,104,104,1998,40,-45,45,-35,1,2.42073172904278,0.632335555213549
15,112,112,1998,40,-45,45,-35,1,3.15163525603117,0.532939633036334
16,120,120,1998,40,-45,45,-35,1,3.09245275045351,0.592686295527091
17,128,128,1998,40,-45,45,-35,1,3.38667805570829,0.547388749861781
18,136,136,1998,40,-45,45,-35,1,3.31982897326299,0.498544385439361
19,144,144,1998,40,-45,45,-35,1,3.28640518761058,0.599451696796138
20,152,152,1998,40,-45,45,-35,1,3.20901831791162,0.42328696236519
21,160,160,1998,40,-45,45,-35,1,3.10956727124709,0.418817203747889
22,168,168,1998,40,-45,45,-35,1,3.01248057667743,0.394780055891702
23,176,176,1998,40,-45,45,-35,1,2.52690808221874,0.38225679673723
24,184,184,1998,40,-45,45,-35,1,2.50690616354699,0.360985688011122
25,192,192,1998,40,-45,45,-35,1,2.52496661682619,0.279031100992894
26,200,200,1998,40,-45,45,-35,1,2.46496088184393,0.31223388494647
27,208,208,1998,40,-45,45,-35,1,2.54121331015996,0.333119810029859
28,216,216,1998,40,-45,45,-35,1,2.1423476575742,0.427821906562947
29,224,224,1998,40,-45,45,-35,1,2.38476507862906,0.34278698955229
30,232,232,1998,40,-45,45,-35,1,2.22890106145301,0.316496744953685
31,240,240,1998,40,-45,45,-35,1,2.36203562569544,0.358752447769979
